"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.0","...","1019.3","2021-02-01 08:31","1014.3","2021-02-01 15:57","19.8","27.3","2021-02-01 14:42","13.6","2021-02-01 05:31","...","51","13","2021-02-01 14:42","1.4","103","7.7","281","2021-02-01 15:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1016.8","...","1018.6","2021-02-02 09:19","1014.5","2021-02-02 14:58","20.2","26.6","2021-02-02 11:41","14.7","2021-02-02 06:31","...","59","19","2021-02-02 11:32","1.6","4","7.5","261","2021-02-02 13:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1018.7","...","1020.7","2021-02-03 08:25","1016.6","2021-02-03 14:35","19.1","24.5","2021-02-03 12:31","14.7","2021-02-03 06:12","...","74","52","2021-02-03 11:12","1.6","1","7.8","311","2021-02-03 14:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1018.6","...","1021.1","2021-02-04 09:13","1016.5","2021-02-04 15:12","19.7","25.0","2021-02-04 15:37","15.1","2021-02-04 03:11","...","74","44","2021-02-04 15:25","1.2","270","6.4","254","2021-02-04 12:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1017.0","...","1019.2","2021-02-05 08:51","1015.0","2021-02-05 15:21","19.5","24.7","2021-02-05 15:02","15.8","2021-02-05 05:52","...","81","55","2021-02-05 12:02","1.5","54","7.1","271","2021-02-05 13:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1015.2","...","1017.6","2021-02-06 08:54","1013.1","2021-02-06 15:11","20.6","26.0","2021-02-06 13:53","15.8","2021-02-06 05:21","...","72","43","2021-02-06 14:01","1.3","3","7.3","250","2021-02-06 12:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1015.1","...","1017.3","2021-02-07 09:11","1012.6","2021-02-07 14:51","20.2","27.3","2021-02-07 13:22","14.5","2021-02-07 07:19","...","77","42","2021-02-07 12:23","1.7","7","7.3","294","2021-02-07 15:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1016.0","...","1017.7","2021-02-08 22:25","1014.5","2021-02-08 13:51","19.7","25.1","2021-02-08 12:24","14.0","2021-02-08 07:13","...","81","57","2021-02-08 13:41","1.5","272","7.7","299","2021-02-08 14:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.6","...","1017.8","2021-02-09 09:22","1013.5","2021-02-09 15:35","19.9","24.5","2021-02-09 13:41","16.2","2021-02-09 06:31","...","77","55","2021-02-09 14:52","2.0","15","8.8","287","2021-02-09 11:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1011.3","...","1014.7","2021-02-10 00:01","1008.5","2021-02-10 15:01","19.7","24.0","2021-02-10 12:22","17.0","2021-02-10 06:05","...","82","62","2021-02-10 12:22","1.8","16","6.9","353","2021-02-10 22:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
