芠代丁(day),代溃(hPa),キ溃(hPa),代程蔼溃(hPa),代程蔼溃丁(LST),代程溃(hPa),代程溃丁(LST),放(),程蔼放(),程蔼放丁(LST),程放(),程放丁(LST),臩翴放(),癸访(%),程癸访(%),程癸访丁(LST),硉(m/s),(360degree),程皚(m/s),程皚(360degree),程皚硉丁(LST),秖(mm),计(hour),程だ牧秖(mm),程だ牧秖癬﹍丁(LST),程せだ牧秖(mm),程せだ牧秖癬﹍丁(LST),ら酚计(hour),ら酚瞯(%),ぱら甮秖(MJ/),ǎ(km),A籡祇秖(mm),ら程蔼档絬计,ら程蔼档絬计丁(LST),羆冻秖(0~10)
ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,1016,...,1018,2022/4/1 21:21,1014.5,2022/4/1 02:54,20.5,24.7,2022/4/1 11:21,17.3,2022/4/1 23:59,...,75,61,2022/4/1 11:21,2.5,4,8.5,2,2022/4/1 00:48,0,...,...,...,...,...,...,...,...,...,...,...,...,...
2,1017.6,...,1019,2022/4/2 09:21,1016.5,2022/4/2 04:03,15.9,17.5,2022/4/2 00:03,14.8,2022/4/2 23:11,...,85,69,2022/4/2 00:03,2.8,4,9.1,7,2022/4/2 01:02,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
3,1017.7,...,1019.2,2022/4/3 10:12,1016.5,2022/4/3 03:51,16.3,19.3,2022/4/3 14:42,14.1,2022/4/3 05:15,...,92,84,2022/4/3 14:46,2,2,6.7,346,2022/4/3 08:05,2,...,...,...,...,...,...,...,...,...,...,...,...,...
4,1018.4,...,1019.8,2022/4/4 08:05,1016.5,2022/4/4 15:24,20,26.7,2022/4/4 14:21,13.6,2022/4/4 06:32,...,75,43,2022/4/4 14:21,1.4,4,7.2,349,2022/4/4 15:48,0,...,...,...,...,...,...,...,...,...,...,...,...,...
5,1017,...,1019.5,2022/4/5 07:31,1013.5,2022/4/5 15:21,22.6,30.1,2022/4/5 14:46,17.5,2022/4/5 05:15,...,68,28,2022/4/5 12:44,1.6,1,7.5,353,2022/4/5 13:12,0,...,...,...,...,...,...,...,...,...,...,...,...,...
6,1014.4,...,1016.3,2022/4/6 08:45,1012.1,2022/4/6 16:08,23.4,28.5,2022/4/6 11:31,18.6,2022/4/6 06:01,...,67,33,2022/4/6 16:01,1.3,1,6.7,238,2022/4/6 12:35,0,...,...,...,...,...,...,...,...,...,...,...,...,...
7,1012.7,...,1014.6,2022/4/7 08:19,1010.6,2022/4/7 15:23,23.8,28.8,2022/4/7 13:23,19,2022/4/7 06:42,...,69,29,2022/4/7 15:41,1.5,1,6.6,245,2022/4/7 14:04,0,...,...,...,...,...,...,...,...,...,...,...,...,...
8,1011.6,...,1013,2022/4/8 08:51,1009.7,2022/4/8 15:23,24.3,28.5,2022/4/8 12:32,20.6,2022/4/8 05:24,...,73,46,2022/4/8 12:44,1.1,262,5.6,304,2022/4/8 16:21,0,...,...,...,...,...,...,...,...,...,...,...,...,...
9,1010.6,...,1012,2022/4/9 08:25,1008.5,2022/4/9 15:42,25.5,29,2022/4/9 12:12,23,2022/4/9 06:01,...,66,44,2022/4/9 12:34,1.3,39,6.9,231,2022/4/9 13:28,0,...,...,...,...,...,...,...,...,...,...,...,...,...
10,1009.7,...,1011.5,2022/4/10 08:51,1007.1,2022/4/10 15:41,26.8,31.5,2022/4/10 15:35,22.5,2022/4/10 04:39,...,60,31,2022/4/10 10:11,1.2,12,7,293,2022/4/10 16:12,0,...,...,...,...,...,...,...,...,...,...,...,...,...
11,1008.6,...,1010.5,2022/4/11 08:23,1006.3,2022/4/11 15:12,26.9,31.2,2022/4/11 13:41,23.8,2022/4/11 02:41,...,62,42,2022/4/11 16:15,1.4,268,7.3,285,2022/4/11 15:41,0,...,...,...,...,...,...,...,...,...,...,...,...,...
12,1006.9,...,1008.8,2022/4/12 08:32,1004.5,2022/4/12 16:08,26.5,31.3,2022/4/12 13:33,23.6,2022/4/12 06:42,...,60,35,2022/4/12 14:42,1.2,39,7.5,300,2022/4/12 14:26,0,...,...,...,...,...,...,...,...,...,...,...,...,...
13,1005,...,1006.5,2022/4/13 00:01,1003,2022/4/13 14:52,26.6,31,2022/4/13 11:43,23.7,2022/4/13 05:51,...,68,43,2022/4/13 11:08,1.3,278,8.1,293,2022/4/13 13:26,0,...,...,...,...,...,...,...,...,...,...,...,...,...
14,1005.5,...,1007.6,2022/4/14 22:21,1003.1,2022/4/14 15:18,26.2,30.5,2022/4/14 14:36,24.1,2022/4/14 23:56,...,74,51,2022/4/14 11:54,1.7,12,9.2,298,2022/4/14 14:11,0,...,...,...,...,...,...,...,...,...,...,...,...,...
15,1008.4,...,1011,2022/4/15 21:52,1006.6,2022/4/15 15:52,24.5,30.3,2022/4/15 12:41,20.6,2022/4/15 05:01,...,67,43,2022/4/15 12:44,1.9,5,6.7,215,2022/4/15 14:44,0,...,...,...,...,...,...,...,...,...,...,...,...,...
16,1010.4,...,1012.5,2022/4/16 22:53,1008.7,2022/4/16 15:29,23.7,28,2022/4/16 14:42,20.5,2022/4/16 03:51,...,61,42,2022/4/16 14:42,1.6,7,6.3,1,2022/4/16 20:00,0,...,...,...,...,...,...,...,...,...,...,...,...,...
17,1012.6,...,1014.7,2022/4/17 09:29,1010.5,2022/4/17 16:31,23,29.5,2022/4/17 15:02,18.7,2022/4/17 07:38,...,61,38,2022/4/17 15:24,1.8,13,7.2,360,2022/4/17 08:17,0,...,...,...,...,...,...,...,...,...,...,...,...,...
18,1013.4,...,1015,2022/4/18 21:32,1011.3,2022/4/18 15:55,24.4,29.2,2022/4/18 15:41,19.6,2022/4/18 05:31,...,66,43,2022/4/18 15:12,1.7,9,7.2,5,2022/4/18 20:10,0,...,...,...,...,...,...,...,...,...,...,...,...,...
19,1013.6,...,1015.1,2022/4/19 22:21,1012.2,2022/4/19 16:11,22.6,26.6,2022/4/19 11:31,20.3,2022/4/19 23:37,...,76,58,2022/4/19 10:52,1.9,5,6.5,14,2022/4/19 15:10,0,...,...,...,...,...,...,...,...,...,...,...,...,...
