,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
0,1,1004.6,29.2,20.6,88
1,2,1007.7,29.5,20.3,85
2,3,1011.0,30.1,21.9,88
3,4,1013.5,29.5,22.4,85
4,5,1015.4,28.2,21.4,78
5,6,1014.8,29.7,20.1,78
6,7,1014.0,29.5,19.9,84
7,8,1014.2,30.5,22.0,82
8,9,1014.1,29.2,20.9,88
9,10,1013.6,30.5,22.6,85
10,11,1013.4,30.9,22.1,87
11,12,1012.7,30.8,21.8,86
12,13,1013.6,30.7,22.2,90
13,14,1013.9,29.9,21.3,87
14,15,1013.4,29.0,20.5,87
15,16,1013.1,29.6,21.4,85
16,17,1012.8,29.9,21.3,87
17,18,1013.6,31.0,20.9,87
18,19,1012.7,30.2,21.8,85
19,20,1011.8,30.4,21.0,88
20,21,1012.3,29.6,21.8,86
21,22,1011.9,29.7,22.3,85
22,23,1011.9,31.6,23.1,84
23,24,1012.9,30.2,22.3,84
24,25,1013.2,30.6,22.4,84
25,26,1012.3,30.9,22.1,75
26,27,1011.8,28.7,22.1,83
27,28,1011.9,32.9,21.2,80
28,29,1012.2,32.3,22.5,82
29,30,1014.2,30.3,20.6,76
30,1,1005.0,33.6,26.5,78
31,2,1006.6,29.1,26.5,85
32,3,1006.8,33.0,26.5,75
33,4,1007.4,35.2,26.0,71
34,5,1007.4,34.6,26.3,72
35,6,1006.2,33.8,26.8,76
36,7,1006.0,33.7,26.0,78
37,8,1006.2,34.8,26.5,66
38,9,1005.8,34.6,27.2,73
39,10,1006.4,36.2,24.2,75
40,11,1007.5,34.2,25.5,83
41,12,1007.4,33.2,25.1,82
42,13,1006.7,34.2,25.5,80
43,14,1005.6,34.1,26.5,70
44,15,1004.9,33.2,24.5,86
45,16,1005.1,34.6,25.6,78
46,17,1005.6,31.7,26.3,88
47,18,1005.3,32.0,25.5,91
48,19,1006.2,33.2,25.5,73
49,20,1008.0,33.3,26.8,71
50,21,1006.4,33.6,27.0,75
51,22,1004.3,33.8,27.0,79
52,23,1003.3,35.7,28.3,71
53,24,1004.3,34.2,28.3,72
54,25,1008.6,34.3,27.2,62
55,26,1008.8,34.8,27.5,71
56,27,1006.6,34.0,27.7,75
57,28,1007.2,34.7,25.0,83
58,29,1008.2,32.8,25.5,83
59,30,1006.4,33.2,26.5,82
60,31,1004.0,34.0,26.1,80
61,1,1001.8,33.5,26.8,73
62,2,997.3,29.5,25.7,81
63,3,994.9,31.0,25.7,88
64,4,998.4,33.6,25.5,81
65,5,1002.3,32.5,27.2,82
66,6,1007.9,32.2,26.5,88
67,7,1011.2,34.6,26.5,76
68,8,1010.8,32.7,26.0,81
69,9,1009.4,32.0,25.7,77
70,10,1007.5,33.3,26.0,67
71,11,1004.1,33.0,24.7,72
72,12,1001.6,32.1,25.7,78
73,13,1003.0,32.0,26.0,72
74,14,1003.1,34.1,25.0,68
75,15,1002.9,34.7,25.0,61
76,16,1003.1,33.5,26.5,73
77,17,1003.6,33.2,25.1,71
78,18,1004.0,31.6,26.0,77
79,19,1004.7,31.5,25.5,72
80,20,1006.1,31.5,25.0,79
81,21,1007.9,32.7,24.6,72
82,22,1008.1,32.1,25.1,70
83,23,1008.0,30.7,24.8,76
84,24,1007.1,32.3,25.2,67
85,25,1006.7,33.5,25.0,75
86,26,1006.2,33.5,25.6,72
87,27,1006.3,33.5,25.6,75
88,28,1006.7,33.1,26.5,75
89,29,1009.0,33.0,26.5,73
90,30,1011.2,33.6,26.6,71
91,1,1020.7,25.8,14.3,62
92,2,1019.1,27.0,14.7,73
93,3,1017.9,26.7,14.6,68
94,4,1016.9,26.6,15.2,75
95,5,1014.6,26.8,18.1,76
96,6,1015.6,25.6,17.3,74
97,7,1017.6,24.5,16.0,74
98,8,1016.1,25.8,15.5,70
99,9,1014.2,26.1,15.6,72
100,10,1013.7,26.0,15.0,77
101,11,1015.5,20.5,14.5,67
102,12,1017.9,20.5,14.0,58
103,13,1017.7,24.2,12.6,62
104,14,1018.2,22.8,10.8,62
105,15,1018.1,25.5,14.1,68
106,16,1017.5,27.3,15.1,71
107,17,1016.6,25.7,17.2,78
108,18,1016.1,20.8,16.5,91
109,19,1014.5,24.6,16.5,82
110,20,1014.2,25.0,15.1,80
111,21,1014.5,26.3,16.7,78
112,22,1011.8,22.0,17.7,94
113,23,1010.1,26.6,17.3,90
114,24,1011.2,25.0,18.0,89
115,25,1013.4,27.7,17.5,82
116,26,1014.4,26.8,17.8,84
117,27,1014.2,27.3,18.8,85
118,28,1013.2,23.5,18.3,91
119,29,1010.1,19.0,17.0,96
120,30,1013.3,20.1,12.2,83
121,31,1016.4,21.5,12.0,74
122,1,1016.0,24.2,16.0,74
123,2,1015.7,24.8,16.1,84
124,3,1014.4,24.0,16.5,88
125,4,1016.1,25.5,15.0,78
126,5,1019.4,22.0,14.0,72
127,6,1019.1,24.5,12.7,71
128,7,1014.8,25.5,14.2,81
129,8,1014.9,26.5,15.7,74
130,9,1015.9,27.8,16.5,74
131,10,1014.9,26.3,16.3,83
132,11,1014.5,25.2,10.0,86
133,12,1012.5,26.2,16.2,82
134,13,1010.9,27.0,17.3,82
135,14,1012.6,19.6,15.1,84
136,15,1014.6,21.8,14.8,78
137,16,1013.1,25.8,14.6,74
138,17,1012.2,21.6,14.5,85
139,18,1012.2,25.5,16.0,83
140,19,1012.5,25.1,14.3,89
141,20,1016.3,14.5,10.6,97
142,21,1018.4,14.6,10.6,96
143,22,1017.4,19.7,14.2,93
144,23,1018.1,16.2,13.2,96
145,24,1020.6,20.3,12.5,83
146,25,1020.3,24.3,13.7,77
147,26,1018.2,27.3,15.3,79
148,27,1016.8,27.8,15.0,69
149,28,1016.0,30.2,16.5,60
150,1,1008.5,33.2,26.4,85
151,2,1007.4,33.4,25.3,83
152,3,1006.1,32.2,24.1,84
153,4,1007.1,33.7,24.7,82
154,5,1007.9,33.3,23.6,86
155,6,1008.7,34.5,24.7,87
156,7,1008.4,35.0,26.3,82
157,8,1007.0,34.0,26.7,83
158,9,1007.0,33.4,26.7,81
159,10,1005.1,33.0,26.9,79
160,11,997.9,32.5,27.1,84
161,12,997.2,30.5,26.3,89
162,13,1006.1,30.1,24.2,96
163,14,1009.7,32.5,25.4,91
164,15,1008.9,33.6,26.2,85
165,16,1007.2,33.5,25.4,82
166,17,1007.9,33.2,26.7,79
167,18,1009.4,34.0,27.1,78
168,19,1009.9,31.5,28.4,79
169,20,1008.8,34.0,26.9,74
170,21,1007.8,33.1,26.1,76
171,22,1009.2,35.0,25.9,77
172,23,1012.0,33.8,22.8,78
173,24,1011.6,32.9,25.3,80
174,25,1009.9,34.2,24.7,81
175,26,1008.9,33.2,25.6,77
176,27,1007.3,34.2,26.4,75
177,28,1006.1,33.3,26.5,74
178,29,1005.1,33.2,27.2,77
179,30,1005.8,33.8,26.9,78
180,1,1007.4,32.4,26.6,77
181,2,1009.3,33.9,26.2,79
182,3,1010.3,32.9,25.8,79
183,4,1010.1,33.0,26.3,76
184,5,1008.3,32.9,25.9,74
185,6,1006.0,32.7,25.8,76
186,7,1005.5,32.5,26.6,83
187,8,1006.1,33.3,26.3,79
188,9,1006.5,32.9,26.1,83
189,10,1004.4,33.1,26.1,80
190,11,996.0,30.5,24.6,85
191,12,997.0,27.6,24.5,97
192,13,1005.6,30.1,24.5,93
193,14,1007.9,27.5,24.1,96
194,15,1007.5,31.3,25.3,88
195,16,1010.2,32.4,24.7,83
196,17,1012.9,32.0,22.4,74
197,18,1014.2,29.0,22.1,74
198,19,1014.8,30.0,21.9,75
199,20,1013.5,30.6,22.9,74
200,21,1011.4,32.2,22.3,74
201,22,1013.6,31.6,20.9,76
202,23,1014.8,29.8,21.8,75
203,24,1013.8,30.3,22.1,77
204,25,1012.1,31.5,21.0,75
205,26,1012.4,30.6,22.2,78
206,27,1013.7,39.5,23.0,77
207,28,1014.7,30.1,22.5,76
208,29,1015.2,29.2,20.7,72
209,30,1015.7,29.5,21.3,70
210,31,1015.5,30.0,21.9,77
211,1,1015.4,30.2,22.0,77
212,2,1014.7,30.9,21.6,76
