,氣溫(℃)
0,23.8
1,24.4
2,25.1
3,25.0
4,23.5
5,23.9
6,24.1
7,25.3
8,24.3
9,25.6
10,25.2
11,25.4
12,24.9
13,24.6
14,24.2
15,24.5
16,24.4
17,24.6
18,25.2
19,24.7
20,24.6
21,25.4
22,26.2
23,25.6
24,25.6
25,25.3
26,24.8
27,26.4
28,26.5
29,25.4
30,29.1
31,28.0
32,28.8
33,29.7
34,29.9
35,29.7
36,29.0
37,29.9
38,29.5
39,29.0
40,28.4
41,28.0
42,28.8
43,30.1
44,28.1
45,29.0
46,28.2
47,27.3
48,29.5
49,30.1
50,29.8
51,30.3
52,31.3
53,30.5
54,30.5
55,30.4
56,30.6
57,28.8
58,28.6
59,29.2
60,29.3
61,29.4
62,27.3
63,28.0
64,29.0
65,29.5
66,28.6
67,29.6
68,28.5
69,28.5
70,29.1
71,28.2
72,28.3
73,28.5
74,28.8
75,29.5
76,28.8
77,28.6
78,28.2
79,28.1
80,27.5
81,27.9
82,28.2
83,27.7
84,28.5
85,28.6
86,29.4
87,29.2
88,29.4
89,29.3
90,29.4
91,19.2
92,19.2
93,19.6
94,20.1
95,21.1
96,20.1
97,19.0
98,19.5
99,19.4
100,19.0
101,17.5
102,16.1
103,16.6
104,16.3
105,18.6
106,20.4
107,20.2
108,18.2
109,18.8
110,19.5
111,20.2
112,18.7
113,21.0
114,20.3
115,20.6
116,21.0
117,21.4
118,20.0
119,18.1
120,16.1
121,16.5
122,18.9
123,19.3
124,18.6
125,18.5
126,17.0
127,17.4
128,18.1
129,19.7
130,20.1
131,19.5
132,19.1
133,19.6
134,20.6
135,17.7
136,17.3
137,19.0
138,18.0
139,19.6
140,18.0
141,11.9
142,12.9
143,16.5
144,14.7
145,16.3
146,18.3
147,19.7
148,20.9
149,22.9
150,28.9
151,28.5
152,27.2
153,28.0
154,27.6
155,28.3
156,29.5
157,29.5
158,29.6
159,30.1
160,29.4
161,28.1
162,26.6
163,28.4
164,28.8
165,29.1
166,29.6
167,29.6
168,29.6
169,30.0
170,28.9
171,29.1
172,28.5
173,28.1
174,28.5
175,29.1
176,29.6
177,29.6
178,29.5
179,29.6
180,29.2
181,29.0
182,29.0
183,29.3
184,29.1
185,29.0
