"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.0","1013.2","1013.5","2022-10-01 07:47","1010.7","2022-10-01 14:49","28.9","35.2","2022-10-01 12:10","24.4","2022-10-01 06:04","21.7","67","38","2022-10-01 11:45","1.4","200","5.8","360","2022-10-01 13:02","0.0","0.0","0.0","...","0.0","...","6.8","57.5","14.89","23.3","3.6","...","...","4.0"
"02","1011.9","1013.1","1013.5","2022-10-02 07:46","1010.2","2022-10-02 14:52","29.5","35.5","2022-10-02 12:15","24.3","2022-10-02 05:48","22.1","67","36","2022-10-02 12:19","1.4","70","6.0","20","2022-10-02 12:58","0.0","0.0","0.0","...","0.0","...","7.9","67.0","14.96","16.3","3.8","...","...","1.5"
"03","1011.6","1012.8","1013.0","2022-10-03 07:43","1009.9","2022-10-03 14:24","29.2","35.3","2022-10-03 11:37","24.8","2022-10-03 05:36","22.2","68","42","2022-10-03 11:45","1.4","60","5.8","70","2022-10-03 15:12","0.0","0.0","0.0","...","0.0","...","6.5","55.2","13.21","19.5","3.8","...","...","3.5"
"04","1012.2","1013.4","1014.1","2022-10-04 08:37","1009.8","2022-10-04 15:25","29.0","35.7","2022-10-04 13:21","24.0","2022-10-04 05:50","21.8","67","36","2022-10-04 13:22","2.0","70","9.4","80","2022-10-04 22:23","0.0","0.0","0.0","...","0.0","...","7.9","67.3","14.40","13.8","-3.2","...","...","2.5"
"05","1014.4","1015.6","1016.1","2022-10-05 08:30","1012.7","2022-10-05 15:35","27.1","29.9","2022-10-05 14:05","24.5","2022-10-05 23:53","22.8","78","57","2022-10-05 14:17","3.2","70","14.3","90","2022-10-05 10:54","13.0","2.4","5.0","2022-10-05 08:07","10.5","2022-10-05 07:31","3.0","25.6","9.52","14.8","-1.5","...","...","8.0"
"06","1014.5","1015.7","1016.2","2022-10-06 08:49","1012.5","2022-10-06 16:09","25.9","28.7","2022-10-06 12:09","24.4","2022-10-06 00:09","22.7","83","63","2022-10-06 14:31","3.5","80","11.6","80","2022-10-06 12:29","1.5","1.6","1.0","2022-10-06 00:04","1.0","2022-10-06 00:01","1.7","14.5","8.57","13.8","-1.8","...","...","9.3"
"07","1014.4","1015.6","1016.5","2022-10-07 23:52","1012.2","2022-10-07 14:40","25.4","26.9","2022-10-07 08:02","24.2","2022-10-07 23:40","23.0","87","79","2022-10-07 08:14","2.5","70","9.7","90","2022-10-07 21:19","7.5","5.6","3.0","2022-10-07 10:03","4.5","2022-10-07 09:49","0.0","0.0","5.38","12.5","-0.2","...","...","9.5"
"08","1015.4","1016.6","1016.6","2022-10-08 00:02","1014.1","2022-10-08 14:57","23.8","24.9","2022-10-08 09:32","23.2","2022-10-08 14:04","21.4","86","79","2022-10-08 12:39","2.9","70","10.6","90","2022-10-08 07:51","0.5","7.6","0.5","2022-10-08 17:08","0.5","2022-10-08 16:18","0.0","0.0","2.93","12.0","-0.3","...","...","9.8"
"09","1015.6","1016.8","1018.4","2022-10-09 23:55","1013.3","2022-10-09 14:47","23.7","25.7","2022-10-09 13:45","21.9","2022-10-09 23:08","21.4","87","77","2022-10-09 14:11","1.9","70","8.1","80","2022-10-09 11:38","2.5","4.7","0.5","2022-10-09 19:34","1.0","2022-10-09 19:18","0.0","0.0","4.40","12.5","-0.3","...","...","10.0"
