,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
0,1,1022.6,18.1,15.0,59
1,2,1020.4,20.7,13.4,72
2,3,1021.8,20.3,10.8,67
3,4,1022.4,21.1,13.4,60
4,5,1019.8,22.6,16.6,77
5,6,1018.7,23.0,17.0,87
6,7,1021.9,20.1,17.4,76
7,8,1022.2,23.9,16.6,64
8,9,1020.3,24.4,19.3,72
9,10,1019.5,24.5,20.5,71
10,11,1019.2,26.7,18.4,74
11,12,1021.0,21.2,17.4,90
12,13,1021.5,19.7,17.1,86
13,14,1017.2,25.3,18.0,74
14,15,1015.1,27.7,16.5,78
15,16,1015.3,27.9,16.8,80
16,17,1021.3,20.5,14.7,78
17,18,1024.7,16.2,14.6,68
18,19,1022.6,20.7,15.3,60
19,20,1018.2,22.7,17.1,72
20,21,1014.0,19.5,16.9,94
21,22,1015.9,18.1,16.7,95
22,23,1015.0,22.5,17.5,87
23,24,1015.9,20.0,18.1,92
24,25,1023.6,19.0,14.1,87
25,26,1027.9,15.7,13.3,85
26,27,1027.5,14.6,12.5,89
27,28,1023.1,20.6,14.5,81
28,29,1022.4,21.1,15.5,83
29,30,1025.4,17.1,15.4,69
30,31,1025.5,17.4,14.9,72
31,1,1018.8,26.6,22.3,74
32,2,1017.8,24.1,21.8,75
33,3,1015.9,26.4,22.1,75
34,4,1014.3,25.6,22.0,79
35,5,1010.9,30.1,20.6,79
36,6,1009.5,30.3,22.6,78
37,7,1011.1,29.8,22.5,73
38,8,1016.4,24.2,16.6,80
39,9,1019.3,18.5,16.7,62
40,10,1018.2,21.2,15.6,64
41,11,1017.4,25.0,15.0,61
42,12,1019.1,20.6,17.3,74
43,13,1018.1,21.3,16.5,89
44,14,1018.1,20.4,16.4,80
45,15,1016.5,25.6,18.4,68
46,16,1015.8,28.5,21.7,66
47,17,1014.8,26.1,21.9,74
48,18,1012.7,22.2,20.1,89
49,19,1011.1,26.7,19.4,83
50,20,1012.3,23.6,21.5,85
51,21,1012.0,28.7,19.8,76
52,22,1017.0,22.7,15.3,92
53,23,1021.0,16.3,14.5,88
54,24,1019.5,19.5,16.1,74
55,25,1017.2,22.0,18.1,84
56,26,1019.1,20.1,17.1,91
57,27,1021.2,20.4,17.1,91
58,28,1018.0,24.1,20.1,77
59,29,1014.2,27.5,21.6,70
60,30,1016.4,23.2,17.2,78
61,1,1008.5,31.9,25.6,76
62,2,1010.6,32.9,24.0,71
63,3,1011.8,33.8,25.9,59
64,4,1012.1,34.1,28.2,61
65,5,1011.3,33.1,27.1,61
66,6,1008.3,33.4,27.4,64
67,7,1006.8,34.2,26.9,61
68,8,1007.7,33.8,26.9,61
69,9,1009.1,33.2,27.8,65
70,10,1008.0,33.0,27.2,66
71,11,1003.9,28.5,25.5,93
72,12,1002.3,31.6,25.7,85
73,13,1007.2,29.1,26.2,83
74,14,1009.1,29.8,26.2,73
75,15,1009.4,32.0,26.7,63
76,16,1013.3,33.5,22.3,70
77,17,1020.3,23.7,20.5,72
78,18,1017.8,25.2,20.1,72
79,19,1017.4,26.8,22.0,72
80,20,1015.0,27.6,22.9,77
81,21,1014.5,24.0,19.8,89
82,22,1019.0,20.5,19.2,95
83,23,1019.6,20.9,19.1,90
84,24,1017.6,21.1,19.5,97
85,25,1016.4,23.3,20.1,92
86,26,1015.3,27.0,21.2,74
87,27,1016.8,26.6,22.8,70
88,28,1018.1,27.5,21.6,63
89,29,1018.3,25.6,20.9,69
90,30,1018.8,23.4,20.9,79
91,31,1018.4,26.9,21.9,76
92,1,1008.8,35.3,25.6,68
93,2,1007.7,34.4,26.2,74
94,3,1006.6,34.4,26.2,73
95,4,1008.0,34.0,25.7,80
96,5,1008.1,34.5,24.2,73
97,6,1009.7,34.8,26.0,78
98,7,1009.0,35.5,25.1,70
99,8,1007.8,35.3,26.8,66
100,9,1007.9,35.8,26.5,58
101,10,1006.4,36.1,26.0,63
102,11,1000.0,33.3,27.8,69
103,12,995.7,28.8,25.4,87
104,13,1004.0,34.6,25.8,67
105,14,1009.3,34.6,26.6,70
106,15,1009.4,34.7,25.5,75
107,16,1008.1,32.3,24.5,80
108,17,1009.1,33.2,25.2,79
109,18,1010.5,34.3,25.4,74
110,19,1010.0,34.9,25.0,73
111,20,1009.2,35.9,26.0,68
