,氣溫(℃)
0,16.2
1,16.5
2,15.3
3,17.3
4,18.9
5,18.9
6,18.5
7,20.1
8,21.4
9,21.9
10,22.3
11,18.6
12,18.0
13,21.1
14,21.2
15,21.2
16,18.1
17,15.4
18,17.3
19,19.4
20,18.1
21,17.3
22,19.9
23,19.1
24,16.2
25,14.1
26,13.3
27,17.1
28,17.6
29,16.0
30,15.9
31,23.3
32,22.9
33,23.3
34,23.6
35,24.8
36,25.4
37,25.3
38,19.9
39,17.4
40,18.0
41,19.4
42,19.1
43,17.9
44,18.9
45,21.8
46,24.2
47,23.7
48,21.1
49,22.3
50,22.6
51,23.8
52,18.2
53,15.3
54,18.0
55,20.0
56,19.0
57,19.0
58,22.0
59,23.8
60,20.6
61,28.1
62,28.4
63,29.3
64,30.2
65,29.3
66,29.7
67,30.2
68,30.1
69,29.5
70,29.7
71,26.7
72,28.1
73,27.8
74,28.3
75,28.8
76,27.7
77,22.4
78,22.7
79,23.9
80,24.5
81,22.2
82,19.7
83,20.0
84,20.3
85,21.4
86,23.9
87,23.9
88,23.6
89,22.5
90,22.3
91,23.4
92,30.1
93,29.3
94,29.2
95,28.0
96,29.1
97,29.0
98,29.9
99,30.5
100,30.8
101,31.0
102,30.0
103,26.8
104,30.2
105,30.3
106,29.3
107,27.6
108,28.2
109,29.0
110,29.8
111,30.3
112,29.2
113,29.4
114,29.9
115,29.7
116,28.6
117,28.6
118,28.9
119,28.3
120,27.9
121,28.4
122,28.2
123,28.3
124,27.8
125,27.8
126,27.7
127,26.4
128,25.2
129,29.8
130,29.1
131,28.6
132,29.0
133,29.7
134,28.1
135,27.8
136,28.7
137,29.7
138,29.9
139,28.4
140,27.4
141,27.6
142,28.2
143,29.1
144,29.9
145,28.2
146,27.8
147,29.1
148,29.7
149,30.6
150,30.7
151,30.8
152,30.5
153,28.9
154,29.5
155,29.2
156,29.0
157,27.1
158,25.9
159,25.4
160,23.8
161,23.7
162,20.7
163,21.2
164,22.3
165,23.2
166,23.3
167,23.9
168,25.4
169,23.2
170,19.3
171,21.0
172,22.9
173,24.6
174,26.4
175,22.7
176,22.4
177,22.0
178,24.0
179,24.8
180,24.2
181,23.0
182,23.3
183,22.2
184,27.9
185,26.2
186,27.1
187,26.9
188,29.7
189,27.1
190,27.4
191,27.7
192,27.3
193,27.0
194,25.4
195,26.2
196,25.9
197,27.1
198,27.0
199,27.7
200,27.1
201,27.6
202,27.5
203,26.5
204,25.7
205,26.4
206,25.8
207,24.4
208,25.6
209,28.8
210,29.2
211,29.8
212,29.5
213,28.9
214,28.8
215,29.4
216,29.2
217,29.3
218,30.5
219,27.4
220,22.9
221,22.3
