,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
0,1,994.8,32.8,25.2,69
1,2,990.1,30.3,25.3,80
2,3,986.8,29.6,25.6,87
3,4,990.2,29.4,24.4,89
4,5,994.2,32.8,26.5,76
5,6,1000.4,31.8,25.8,83
6,7,1003.8,32.7,25.4,84
7,8,1002.8,33.1,24.0,68
8,9,1001.5,33.5,25.3,61
9,10,1000.1,31.7,24.7,65
10,11,996.9,30.4,24.5,76
11,12,994.5,29.6,23.2,82
12,13,995.7,30.4,24.4,76
13,14,995.3,32.4,24.6,69
14,15,995.2,33.3,23.8,66
15,16,995.5,33.3,24.2,69
16,17,995.9,32.9,23.8,72
17,18,996.0,33.2,24.4,67
18,19,997.0,33.5,23.4,65
19,20,998.4,32.1,24.5,62
20,21,1000.3,31.8,24.0,55
21,22,1000.4,32.1,24.1,64
22,23,1000.0,33.4,22.6,62
23,24,999.8,31.4,24.6,65
24,25,999.3,31.6,23.5,75
25,26,998.5,32.5,24.7,74
26,27,998.4,32.2,24.5,72
27,28,998.9,33.3,25.0,75
28,29,1001.1,32.5,25.5,75
29,30,1003.4,32.4,25.6,71
30,1,996.5,30.4,21.1,66
31,2,999.5,30.1,21.0,74
32,3,1002.8,33.2,21.7,78
33,4,1005.5,29.9,21.9,73
34,5,1007.4,28.0,20.6,70
35,6,1006.9,29.1,19.6,71
36,7,1005.6,29.9,20.2,78
37,8,1006.4,27.9,21.6,86
38,9,1005.5,30.4,20.7,80
39,10,1005.5,30.3,22.4,81
40,11,1005.3,29.9,22.4,84
41,12,1004.6,30.7,23.0,82
42,13,1005.5,31.2,21.4,76
43,14,1005.7,30.5,20.2,75
44,15,1005.1,31.2,20.6,76
45,16,1004.8,28.9,21.2,79
46,17,1004.8,30.8,22.2,73
47,18,1005.5,31.2,20.7,77
48,19,1004.6,30.0,21.0,80
49,20,1003.5,30.7,21.2,78
50,21,1003.9,30.0,22.2,77
51,22,1003.9,27.9,23.2,82
52,23,1004.4,24.9,21.0,89
53,24,1005.1,26.5,20.8,89
54,25,1005.2,27.2,21.8,88
55,26,1004.6,26.7,22.1,77
56,27,1003.6,29.0,22.2,77
57,28,1003.9,32.4,21.4,75
58,29,1004.2,32.0,22.6,74
59,30,1006.9,26.9,19.8,71
60,1,1003.9,32.8,25.0,75
61,2,1003.8,33.3,24.8,72
62,3,1003.6,32.6,24.7,75
63,4,1003.6,32.6,26.3,74
64,5,1004.0,32.7,25.5,68
65,6,1004.4,33.5,25.2,72
66,7,1004.1,32.5,25.4,73
67,8,1004.3,31.2,24.3,72
68,9,1004.9,31.4,24.7,72
69,10,1005.4,27.7,21.2,65
70,11,1004.0,27.9,21.1,58
71,12,1002.3,30.7,20.5,63
72,13,1001.5,31.7,21.2,68
73,14,1000.0,30.8,23.9,69
74,15,996.9,31.1,24.0,78
75,16,994.6,28.2,24.3,88
76,17,997.1,29.6,21.2,76
77,18,1001.4,25.8,20.3,66
78,19,1004.1,28.6,20.2,61
79,20,1006.1,29.2,21.6,66
80,21,1004.9,30.8,20.5,75
81,22,1003.5,31.2,22.6,79
82,23,1004.1,26.2,22.1,82
83,24,1004.6,27.7,20.6,63
84,25,1006.5,27.3,20.6,59
85,26,1005.7,29.2,20.1,68
86,27,1004.2,29.5,21.4,68
87,28,1002.9,30.7,20.7,69
88,29,1001.0,30.8,21.6,70
89,30,997.8,30.2,21.2,71
90,31,997.0,27.4,21.8,79
91,1,997.3,33.4,25.5,81
92,2,999.1,30.7,24.5,88
93,3,999.4,33.3,24.1,79
94,4,1000.1,34.9,24.0,80
95,5,1000.1,33.5,23.6,76
96,6,998.7,33.7,26.0,70
97,7,998.5,33.6,25.0,72
98,8,998.7,34.5,24.1,74
99,9,998.3,33.3,24.7,77
100,10,998.7,33.7,24.7,72
101,11,999.8,32.9,25.3,80
102,12,999.6,33.5,27.1,74
103,13,998.9,34.1,25.8,71
104,14,998.0,33.3,26.1,76
105,15,996.9,34.2,27.5,70
106,16,997.4,33.6,26.3,73
107,17,998.0,32.4,25.3,84
108,18,997.3,31.5,25.0,83
109,19,998.6,32.6,26.2,77
110,20,1000.3,33.9,26.5,74
111,21,998.6,33.4,26.1,72
112,22,996.5,35.2,26.2,69
113,23,995.9,33.5,28.1,73
114,24,996.5,34.2,26.7,77
115,25,1000.9,34.7,24.6,76
116,26,1001.2,33.7,24.4,73
117,27,998.9,35.4,26.3,69
118,28,999.7,31.1,26.0,76
119,29,1000.4,32.2,25.5,84
120,30,998.6,32.7,24.6,87
121,31,996.1,33.3,25.4,80
122,1,996.1,33.2,26.4,79
123,2,997.6,32.2,24.9,85
124,3,996.8,33.1,24.4,80
125,4,996.2,34.3,25.4,78
126,5,997.5,34.1,24.4,79
127,6,998.8,33.8,23.8,79
128,7,1000.0,33.4,24.0,79
129,8,998.8,33.6,25.4,77
130,9,997.3,33.6,25.5,74
131,10,997.8,34.9,28.0,75
132,11,998.4,33.5,27.2,73
133,12,998.2,33.1,27.9,74
134,13,996.6,33.6,27.8,72
135,14,995.9,34.5,26.8,70
136,15,997.3,29.6,24.7,75
137,16,996.8,32.7,25.4,74
138,17,996.7,33.3,27.0,71
139,18,996.9,33.8,26.8,69
140,19,999.1,33.5,27.0,78
141,20,1001.6,34.7,25.9,77
142,21,1002.8,34.7,25.9,73
143,22,1001.1,35.0,27.1,73
144,23,999.3,34.8,28.3,71
145,24,997.8,35.2,27.8,70
146,25,998.9,35.2,28.1,67
147,26,998.7,33.5,28.0,75
148,27,997.9,34.0,28.0,72
149,28,996.9,33.2,26.6,75
150,29,995.4,34.0,26.9,71
151,30,993.5,32.4,25.8,81
152,31,994.7,34.2,25.0,75
153,1,998.5,32.4,24.8,77
154,2,997.5,32.2,26.0,74
155,3,998.1,32.6,26.2,72
156,4,998.5,31.9,24.9,82
157,5,996.6,32.8,25.0,71
158,6,995.6,32.3,26.6,76
159,7,997.2,28.6,24.1,92
160,8,999.0,26.5,23.0,98
161,9,998.7,30.0,23.0,90
162,10,997.9,31.3,23.6,80
163,11,999.1,31.6,24.7,81
164,12,999.6,31.8,23.9,82
165,13,997.9,33.1,25.0,72
166,14,998.9,33.5,26.8,69
167,15,1000.7,30.9,24.8,79
168,16,1000.7,31.7,24.8,77
169,17,999.7,31.4,26.0,73
170,18,999.1,33.3,24.2,70
171,19,998.7,33.4,25.1,69
172,20,997.2,33.6,25.2,69
173,21,998.1,33.1,25.9,64
174,22,1001.2,33.6,24.4,67
175,23,1001.6,34.6,25.5,71
176,24,999.8,33.4,24.2,82
177,25,999.5,33.4,23.5,88
178,26,1001.0,34.1,23.5,77
179,27,999.4,32.7,25.1,73
180,28,996.3,33.2,25.8,76
181,29,995.4,31.5,23.5,85
182,30,995.0,32.9,22.6,79
183,1,1002.5,25.0,17.4,75
184,2,1003.6,18.9,15.9,92
185,3,1004.3,25.8,16.1,81
186,4,1002.6,28.8,21.3,83
187,5,1001.1,27.8,22.9,81
188,6,1001.4,30.7,22.3,75
189,7,1002.4,32.1,23.2,71
190,8,1002.8,29.6,22.3,78
191,9,1002.5,28.2,23.0,82
192,10,1000.7,31.7,22.1,79
193,11,999.9,30.5,22.7,83
194,12,999.0,29.8,22.3,87
195,13,998.0,28.0,21.6,89
196,14,1000.1,24.9,21.5,96
197,15,1000.9,22.9,18.1,91
198,16,1001.4,18.8,17.3,95
199,17,1002.8,24.9,17.0,84
200,18,1003.0,30.7,17.8,78
201,19,1000.8,31.3,22.2,79
202,20,997.7,31.8,23.6,77
203,21,997.8,28.6,23.1,80
204,22,998.1,30.1,22.8,81
205,23,998.9,29.9,23.7,78
206,24,1000.7,29.7,24.1,85
207,25,999.1,28.5,24.0,95
208,26,996.3,30.6,23.9,93
209,27,996.7,27.9,23.5,98
210,28,998.0,31.7,23.8,82
211,29,997.8,32.7,23.8,75
212,30,997.7,31.7,24.9,76
213,31,999.0,31.4,25.5,84
214,1,1008.8,23.3,15.6,70
215,2,1010.1,15.8,13.5,88
