,氣溫(℃)
0,29.0
1,27.1
2,27.3
3,26.7
4,29.1
5,28.4
6,27.4
7,28.4
8,28.8
9,27.9
10,26.7
11,26.4
12,27.3
13,28.0
14,28.5
15,28.2
16,27.9
17,28.1
18,28.2
19,27.9
20,27.4
21,27.4
22,27.2
23,26.8
24,27.2
25,28.5
26,28.4
27,28.6
28,28.6
29,28.6
30,24.8
31,24.4
32,25.9
33,24.9
34,22.7
35,22.9
36,24.1
37,23.8
38,24.9
39,25.4
40,25.2
41,25.6
42,25.3
43,24.6
44,24.6
45,24.5
46,25.5
47,24.8
48,24.6
49,25.0
50,25.4
51,24.7
52,23.2
53,22.7
54,23.7
55,23.8
56,24.5
57,26.1
58,26.7
59,23.1
60,28.4
61,28.7
62,28.5
63,28.8
64,28.9
65,28.6
66,27.9
67,27.1
68,26.8
69,23.3
70,23.4
71,24.9
72,25.6
73,26.1
74,26.2
75,25.7
76,25.2
77,22.3
78,23.3
79,24.5
80,25.0
81,26.4
82,24.1
83,23.3
84,23.1
85,24.4
86,25.1
87,25.3
88,25.3
89,25.3
90,24.1
91,27.7
92,26.4
93,27.8
94,28.0
95,28.7
96,29.5
97,29.1
98,28.0
99,28.3
100,29.4
101,28.8
102,29.3
103,29.5
104,29.6
105,30.2
106,29.8
107,28.2
108,27.9
109,29.1
110,29.7
111,29.6
112,30.5
113,30.2
114,29.6
115,29.0
116,29.2
117,30.0
118,28.0
119,27.9
120,27.9
121,29.3
122,28.6
123,27.2
124,28.4
125,28.5
126,27.6
127,27.8
128,28.4
129,29.2
130,29.5
131,30.2
132,30.2
133,30.0
134,30.1
135,30.2
136,27.6
137,28.7
138,30.0
139,30.2
140,29.5
141,29.5
142,30.0
143,30.6
144,30.9
145,30.9
146,31.0
147,30.0
148,30.3
149,29.9
150,30.2
151,28.1
152,28.5
153,28.6
154,28.8
155,29.2
156,27.5
157,28.9
158,28.5
159,25.7
160,24.2
161,25.8
162,27.3
163,27.4
164,27.3
165,28.9
166,29.3
167,27.1
168,27.7
169,28.3
170,28.7
171,28.9
172,29.4
173,28.9
174,28.6
175,29.1
176,27.3
177,26.3
178,28.4
179,29.0
180,29.2
181,27.0
182,28.2
183,21.6
184,17.1
185,21.2
186,24.6
187,24.8
188,26.1
189,26.8
190,25.3
191,25.0
192,25.9
193,25.6
194,24.8
195,24.4
196,22.7
197,20.5
198,17.9
199,20.6
200,24.2
201,26.5
202,26.6
203,25.1
204,25.7
205,26.3
206,26.2
207,25.5
208,25.2
209,24.7
210,27.4
211,28.2
212,28.4
213,27.4
214,18.7
215,14.6
216,15.4
217,19.4
218,21.1
219,22.1
220,22.6
221,23.5
222,24.0
223,25.8
224,25.7
225,26.1
226,25.6
227,25.2
228,22.3
229,21.1
230,19.9
231,21.7
232,19.2
233,22.0
234,24.5
235,27.0
236,26.7
237,27.4
238,27.3
239,28.0
240,28.3
241,27.3
242,27.3
243,24.8
244,16.3
245,17.5
246,16.3
247,16.4
248,15.4
249,15.9
250,16.6
251,16.7
252,18.1
253,18.4
254,18.2
255,18.6
256,18.5
257,15.4
258,16.9
259,18.1
260,17.6
261,17.9
262,16.4
263,11.2
264,12.5
265,15.2
266,13.7
267,15.2
268,17.2
269,18.5
270,19.9
271,20.9
272,18.1
273,17.9
274,18.6
275,18.7
276,19.4
277,18.2
278,16.9
279,17.5
280,18.0
281,18.2
282,15.4
283,14.6
284,15.4
285,15.6
286,17.9
287,18.9
288,18.3
289,18.1
290,18.6
291,19.3
292,18.0
293,17.9
294,19.4
295,18.5
296,19.6
297,20.1
298,20.7
299,19.5
300,17.3
301,14.7
302,15.7
303,22.5
304,22.2
305,21.7
306,22.7
307,22.1
308,22.2
309,16.0
310,16.5
311,18.8
312,19.6
313,20.9
314,21.9
315,23.9
316,23.7
317,23.2
318,22.9
319,23.7
320,23.8
321,23.4
322,24.2
323,24.5
324,22.0
325,16.8
326,17.8
327,23.3
328,24.0
329,19.5
330,16.4
331,20.9
332,23.5
333,23.4
334,29.3
335,29.4
336,27.5
337,27.8
338,28.7
339,28.6
340,29.6
341,29.3
342,29.9
343,29.7
344,29.6
345,26.9
346,28.2
347,29.9
348,28.9
349,27.8
350,28.7
351,29.7
352,29.4
353,29.6
354,29.3
355,29.1
356,29.1
357,29.1
358,29.7
359,29.2
360,28.6
361,28.6
362,28.8
363,28.7
364,17.4
365,17.6
366,17.2
367,17.1
368,18.7
369,19.8
370,19.4
371,19.4
372,20.4
373,20.7
374,21.0
375,20.0
376,19.9
377,20.3
378,21.2
379,22.3
380,19.4
381,16.7
382,18.7
383,19.1
384,18.6
385,18.9
386,20.0
387,20.5
388,18.7
389,16.3
390,14.2
391,17.1
392,18.4
393,17.6
394,16.7
395,25.0
396,24.5
397,25.2
398,25.8
399,25.9
400,26.4
401,26.0
402,22.5
403,19.5
404,18.8
405,19.6
406,20.8
407,20.0
408,20.7
409,22.6
410,23.0
411,23.8
412,22.5
413,23.5
414,24.1
415,24.3
416,20.9
417,17.2
418,19.5
419,20.2
420,20.0
421,21.0
422,22.6
423,23.7
424,22.2
425,29.1
426,28.9
427,29.1
428,29.2
429,29.0
430,29.0
431,29.1
432,29.7
433,29.3
434,29.5
435,29.6
436,27.9
437,26.3
438,26.4
439,27.9
440,28.2
441,24.9
442,24.5
443,25.1
444,25.7
445,24.8
446,22.2
447,24.5
448,23.1
449,24.5
450,26.1
451,25.5
452,25.1
453,23.9
454,24.4
455,24.5
456,25.1
457,25.0
458,26.3
459,28.1
460,26.0
461,24.9
462,25.3
463,27.2
464,27.0
465,26.7
466,27.0
467,28.2
468,28.2
469,28.0
470,28.2
471,29.4
472,29.6
473,28.5
474,27.2
475,28.3
476,29.2
477,29.0
478,29.6
479,28.4
480,28.3
481,28.1
482,29.2
483,29.3
484,29.5
485,28.7
486,28.8
487,24.8
488,25.5
489,25.3
490,26.9
491,25.6
492,26.1
493,27.4
494,28.0
495,28.6
496,28.5
