"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.9","1012.1","1010.9","2022-05-01 23:10","1007.4","2022-05-01 15:06","23.0","25.9","2022-05-01 10:18","19.4","2022-05-01 23:58","18.4","76","66","2022-05-01 10:47","4.8","360","11.7","20","2022-05-01 19:14","T","2.8","T","2022-05-01 12:39","T","2022-05-01 12:39","0.7","5.4","11.18","9.0","...","7","2022-05-01 11:00","10.0"
"02","1010.2","1013.4","1012.2","2022-05-02 21:40","1008.4","2022-05-02 04:18","18.1","19.4","2022-05-02 00:01","16.6","2022-05-02 23:52","17.5","96","83","2022-05-02 00:01","4.1","10","14.0","40","2022-05-02 01:24","21.0","23.6","1.0","2022-05-02 05:36","2.5","2022-05-02 13:12","0.0","0.0","3.81","6.5","...","3","2022-05-02 13:00","10.0"
"03","1011.5","1014.6","1012.7","2022-05-03 09:24","1010.3","2022-05-03 03:07","20.5","23.5","2022-05-03 15:09","16.6","2022-05-03 00:36","18.7","89","77","2022-05-03 15:14","1.9","360","9.2","20","2022-05-03 01:34","0.5","6.6","0.5","2022-05-03 10:45","0.5","2022-05-03 10:30","0.0","0.0","10.63","8.0","...","7","2022-05-03 13:00","10.0"
"04","1009.7","1012.8","1011.5","2022-05-04 00:01","1008.2","2022-05-04 15:04","24.8","29.6","2022-05-04 12:21","21.5","2022-05-04 01:49","21.3","81","60","2022-05-04 12:12","2.8","20","10.3","310","2022-05-04 13:01","T","0.1","T","2022-05-04 05:55","T","2022-05-04 05:55","7.2","55.3","23.67","11.8","...","11","2022-05-04 12:00","7.8"
"05","1008.1","1011.2","1009.3","2022-05-05 08:46","1006.5","2022-05-05 16:56","25.6","29.8","2022-05-05 12:01","23.5","2022-05-05 05:24","22.4","83","63","2022-05-05 12:02","3.2","10","10.3","330","2022-05-05 15:05","0.0","0.0","0.0","...","0.0","...","7.6","58.3","22.18","7.8","...","10","2022-05-05 12:00","6.3"
"06","1008.5","1011.6","1010.0","2022-05-06 21:44","1007.2","2022-05-06 14:46","26.2","30.2","2022-05-06 12:47","22.6","2022-05-06 04:05","22.4","80","63","2022-05-06 12:07","2.4","10","8.8","300","2022-05-06 14:16","0.0","0.0","0.0","...","0.0","...","6.7","51.3","21.44","7.0","...","9","2022-05-06 12:00","6.3"
"07","1009.4","1012.5","1011.1","2022-05-07 22:30","1007.7","2022-05-07 16:54","26.9","31.0","2022-05-07 15:19","23.7","2022-05-07 04:51","22.6","78","56","2022-05-07 12:21","2.9","360","9.0","340","2022-05-07 14:18","0.0","0.0","0.0","...","0.0","...","5.4","41.3","20.04","8.0","...","9","2022-05-07 11:00","8.8"
"08","1009.7","1012.8","1011.0","2022-05-08 09:40","1008.6","2022-05-08 15:07","26.2","30.6","2022-05-08 13:02","23.7","2022-05-08 05:47","22.7","82","60","2022-05-08 13:02","2.6","360","7.9","20","2022-05-08 02:26","0.0","0.0","0.0","...","0.0","...","2.0","15.3","16.29","8.8","...","9","2022-05-08 11:00","9.0"
"09","1009.2","1012.3","1010.8","2022-05-09 08:17","1007.5","2022-05-09 16:26","26.4","30.4","2022-05-09 14:24","23.8","2022-05-09 05:49","22.0","78","59","2022-05-09 12:57","3.3","360","9.6","90","2022-05-09 14:41","0.0","0.0","0.0","...","0.0","...","3.7","28.2","18.08","8.0","...","7","2022-05-09 12:00","9.0"
