,氣溫(℃)
0,25.6
1,25.1
2,25.9
3,26.3
4,26.3
5,27.4
6,26.5
7,23.9
8,20.6
9,20.7
10,21.1
11,22.6
12,20.9
13,21.0
14,23.2
15,24.3
16,24.0
17,23.3
18,23.6
19,24.3
20,25.1
21,22.2
22,18.6
23,19.9
24,21.1
25,21.6
26,21.9
27,22.5
28,23.0
29,22.6
30,29.5
31,29.2
32,28.3
33,28.9
34,28.2
35,29.1
36,30.4
37,30.2
38,30.1
39,30.4
40,29.9
41,28.1
42,27.4
43,29.0
44,29.1
45,29.4
46,29.8
47,30.5
48,30.4
49,30.4
50,29.8
51,30.1
52,29.4
53,29.1
54,29.6
55,29.8
56,30.0
57,29.8
58,29.8
59,30.1
60,26.5
61,26.3
62,27.6
63,27.0
64,26.5
65,27.5
66,27.2
67,26.8
68,26.9
69,27.9
70,28.4
71,28.1
72,27.6
73,26.5
74,28.6
75,29.5
76,29.6
77,28.9
78,29.4
79,29.6
80,29.5
81,29.4
82,29.9
83,29.8
84,29.5
85,28.8
86,29.4
87,29.7
88,29.9
89,28.4
90,29.2
91,19.5
92,15.4
93,15.7
94,19.6
95,22.1
96,22.6
97,22.7
98,24.0
99,25.3
100,26.8
101,26.9
102,27.0
103,26.6
104,26.5
105,23.7
106,23.0
107,22.4
108,23.8
109,21.7
110,23.5
111,25.8
112,27.7
113,26.9
114,27.8
115,28.7
116,28.7
117,28.8
118,28.1
119,28.9
120,26.5
121,18.2
122,18.6
123,18.0
124,17.6
125,16.3
126,16.8
127,17.5
128,18.2
129,19.0
130,18.9
131,18.3
132,18.6
133,19.3
134,16.8
135,16.6
136,18.0
137,17.3
138,18.2
139,16.8
140,11.1
141,12.2
142,15.8
143,14.0
144,15.6
145,17.1
146,18.9
147,20.3
148,22.1
149,23.8
150,23.0
151,22.2
152,23.6
153,23.5
154,22.4
155,17.1
156,17.1
157,20.0
158,21.1
159,22.7
160,22.9
161,24.8
162,25.6
163,25.2
164,23.5
165,24.9
166,25.4
167,24.3
168,24.5
169,24.3
170,25.7
171,18.8
172,19.2
173,25.6
174,27.7
175,24.2
176,18.6
177,21.8
178,24.2
179,24.6
180,18.7
181,18.5
182,19.0
183,19.5
184,20.3
185,19.3
186,17.8
187,18.5
188,18.6
189,18.4
190,16.9
191,15.5
192,16.2
193,15.8
194,18.4
195,19.5
196,19.4
197,17.7
198,18.2
199,19.0
200,19.6
201,18.5
202,20.2
203,19.7
204,19.7
205,20.6
206,20.9
207,19.5
208,17.7
209,15.5
210,16.0
211,17.8
212,17.9
213,17.9
214,18.4
215,19.9
216,20.0
217,20.6
218,20.2
219,21.2
220,21.6
221,21.8
222,20.8
223,20.0
224,20.8
225,21.6
226,21.8
227,20.4
228,17.0
229,19.0
230,19.4
231,19.1
232,19.9
233,20.5
234,21.1
235,18.4
236,15.9
237,14.8
238,17.3
239,19.0
240,18.1
241,17.1
242,29.8
243,29.7
244,29.5
245,29.7
246,29.4
247,29.7
248,29.8
249,29.9
250,29.8
251,29.8
252,28.7
253,27.2
254,26.6
255,26.1
256,28.3
257,28.7
258,26.4
259,25.5
260,26.1
261,26.5
262,26.4
263,24.0
264,25.4
265,25.4
266,25.2
267,26.5
268,26.0
269,25.5
270,24.6
271,25.3
272,25.1
273,29.4
274,29.5
275,29.7
276,30.1
277,29.8
278,29.1
279,30.1
280,30.0
281,30.3
282,30.4
283,29.6
284,30.1
285,29.5
286,29.2
287,27.9
288,28.6
289,29.0
290,29.7
291,28.9
292,28.6
293,29.2
294,28.9
295,29.1
296,29.4
297,28.7
298,29.9
299,29.8
300,28.8
301,27.6
302,26.6
303,25.2
304,26.8
305,27.3
306,26.7
307,25.3
308,23.2
309,23.0
310,22.5
311,23.1
312,21.0
313,22.0
314,23.3
315,24.3
316,25.8
317,25.0
318,23.7
319,24.5
320,25.6
321,25.7
322,24.6
323,25.4
324,26.2
325,25.6
326,26.0
327,25.7
328,24.6
329,23.7
330,23.7
331,25.3
332,23.6
333,25.1
334,28.8
335,29.8
336,30.2
337,30.3
338,26.9
339,25.1
340,27.2
341,28.4
342,29.3
343,29.3
344,29.9
345,30.0
346,29.8
347,30.0
348,29.7
349,29.2
350,29.1
351,29.5
352,29.2
353,28.2
354,27.6
355,26.1
356,26.3
357,26.7
358,26.5
359,27.3
360,26.8
361,26.0
362,26.4
363,28.8
364,26.0
365,26.5
366,25.7
367,27.5
368,27.6
369,26.7
370,28.4
371,28.3
372,28.5
373,28.2
374,28.5
375,29.3
376,29.4
377,29.5
378,29.9
379,29.7
380,29.6
381,29.7
382,30.0
383,30.1
384,30.3
385,30.4
386,30.7
387,30.7
388,30.7
389,30.0
390,30.5
391,30.3
392,29.8
393,27.1
394,28.2
395,14.1
396,15.3
397,17.4
398,18.5
399,18.5
400,17.7
401,15.0
402,10.3
403,11.3
404,13.8
405,14.3
406,12.6
407,14.5
408,16.2
409,17.1
410,17.6
411,15.5
412,15.0
413,16.9
414,18.0
415,19.9
416,20.1
417,19.0
418,18.6
419,19.7
420,18.1
421,18.3
422,17.2
423,16.5
424,17.2
425,17.8
426,23.5
427,21.4
428,19.2
429,20.6
430,22.9
431,23.5
432,20.8
433,20.4
434,20.3
435,21.1
436,21.1
437,22.6
438,21.6
439,21.3
440,22.4
441,24.6
442,25.4
443,23.7
444,24.1
445,25.0
446,21.3
447,16.2
448,18.9
449,19.1
450,20.2
451,22.4
452,24.8
453,26.1
454,25.7
455,26.3
456,26.5
457,19.6
458,19.7
459,18.5
460,18.9
461,19.1
462,20.7
463,19.3
464,19.6
465,19.5
466,19.3
467,18.5
468,18.5
469,20.2
470,19.1
471,19.7
472,20.8
473,18.7
474,17.0
475,17.4
476,18.3
477,19.8
478,21.5
479,21.2
480,21.2
481,21.7
482,22.5
483,20.7
484,21.1
485,25.2
486,25.5
487,24.3
488,24.5
489,24.8
490,24.1
491,24.3
492,22.1
493,20.8
494,21.4
495,22.9
496,23.1
497,23.6
498,23.6
499,23.4
500,24.5
501,25.6
502,25.8
503,27.0
504,27.6
505,26.5
506,25.8
507,25.3
508,25.1
509,24.9
510,25.2
511,24.2
512,22.6
513,21.9
514,21.7
515,22.3
516,21.8
517,19.9
518,19.7
519,20.6
520,21.4
521,22.1
522,20.7
523,20.9
524,21.9
525,22.6
526,22.3
527,22.1
528,20.5
529,19.0
530,19.2
531,19.4
532,20.2
533,19.0
534,18.7
535,17.4
536,19.3
537,19.9
538,20.4
539,19.6
540,20.4
541,21.3
542,21.7
543,21.7
544,16.0
545,11.5
546,24.3
547,24.8
548,25.4
549,25.1
550,22.7
551,23.2
552,24.3
553,24.9
554,24.8
555,25.6
556,25.8
557,26.0
558,25.1
559,25.0
560,24.7
561,24.8
562,25.4
563,25.2
564,25.3
565,25.2
566,25.2
567,25.3
568,25.7
569,25.2
570,25.3
571,24.8
572,25.0
573,26.9
574,27.2
575,24.3
576,29.7
577,30.0
578,29.6
579,29.7
580,29.5
581,29.3
582,29.1
583,28.3
584,27.9
585,24.8
586,23.6
587,25.3
588,26.3
589,26.7
590,26.6
591,26.7
