"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.5","1005.9","1004.1","2022-07-01 22:21","1000.9","2022-07-01 03:45","30.2","33.1","2022-07-01 13:37","28.4","2022-07-01 05:13","22.8","64","55","2022-07-01 11:19","3.7","100","12.8","80","2022-07-01 12:50","0.0","0.0","0.0","...","0.0","...","9.5","69.7","25.58","38.8","-5.4","13","2022-07-01 12:00","5.5"
"02","1003.5","1007.0","1004.8","2022-07-02 10:53","1002.1","2022-07-02 16:36","28.2","30.5","2022-07-02 16:20","25.7","2022-07-02 11:52","24.2","79","69","2022-07-02 00:01","1.2","150","7.9","280","2022-07-02 10:48","12.5","1.8","5.5","2022-07-02 10:52","11.5","2022-07-02 10:52","0.8","5.9","10.31","21.5","-1.9","6","2022-07-02 14:00","9.5"
"03","1002.3","1005.7","1003.6","2022-07-03 00:01","1000.9","2022-07-03 15:27","29.5","32.5","2022-07-03 14:01","27.2","2022-07-03 01:26","24.7","76","65","2022-07-03 14:24","1.9","320","10.5","330","2022-07-03 14:03","T","0.1","T","2022-07-03 22:00","T","2022-07-03 21:02","1.6","11.8","13.82","26.8","-4.1","9","2022-07-03 14:00","8.5"
"04","1001.7","1005.2","1003.1","2022-07-04 21:06","1000.5","2022-07-04 14:10","28.4","34.0","2022-07-04 12:57","26.5","2022-07-04 16:39","24.9","82","55","2022-07-04 10:33","1.2","160","8.8","60","2022-07-04 14:01","7.5","3.9","2.5","2022-07-04 15:06","4.5","2022-07-04 14:45","4.7","34.6","14.94","32.5","-1.0","9","2022-07-04 11:00","9.0"
"05","1003.1","1006.6","1004.3","2022-07-05 23:26","1002.0","2022-07-05 01:59","27.6","34.1","2022-07-05 10:56","25.6","2022-07-05 03:35","24.9","86","55","2022-07-05 10:36","1.2","140","8.1","170","2022-07-05 13:05","46.0","4.1","13.0","2022-07-05 12:29","39.0","2022-07-05 12:27","6.2","45.6","13.89","30.8","-5.2","11","2022-07-05 11:00","6.5"
"06","1004.6","1008.0","1006.2","2022-07-06 21:36","1003.1","2022-07-06 16:22","29.4","34.6","2022-07-06 12:44","25.2","2022-07-06 05:16","24.1","75","48","2022-07-06 11:59","1.3","160","8.7","80","2022-07-06 13:23","0.0","0.0","0.0","...","0.0","...","8.3","61.1","22.27","37.5","-4.5","12","2022-07-06 12:00","6.0"
"07","1006.0","1009.5","1006.9","2022-07-07 07:03","1005.1","2022-07-07 00:50","29.2","35.1","2022-07-07 11:57","26.8","2022-07-07 14:54","24.8","78","53","2022-07-07 11:46","1.5","160","8.5","330","2022-07-07 13:30","3.0","1.4","2.0","2022-07-07 14:27","3.0","2022-07-07 14:22","6.9","50.8","18.45","22.5","-3.8","10","2022-07-07 12:00","6.8"
"08","1004.7","1008.1","1006.2","2022-07-08 00:02","1002.9","2022-07-08 16:28","30.4","35.3","2022-07-08 11:55","26.3","2022-07-08 05:24","24.3","71","51","2022-07-08 10:23","1.4","170","7.8","320","2022-07-08 13:11","0.0","0.0","0.0","...","0.0","...","8.2","60.5","23.07","50.0","5.5","11","2022-07-08 11:00","6.3"
"09","1002.8","1006.2","1004.1","2022-07-09 07:54","1001.2","2022-07-09 15:47","31.0","35.3","2022-07-09 12:56","27.4","2022-07-09 04:11","25.3","72","52","2022-07-09 12:19","1.4","250","7.5","360","2022-07-09 13:58","0.0","0.0","0.0","...","0.0","...","8.9","65.6","23.63","42.5","5.2","12","2022-07-09 13:00","5.8"
"10","1003.2","1006.6","1004.4","2022-07-10 06:49","1001.8","2022-07-10 15:26","31.6","36.2","2022-07-10 13:25","28.8","2022-07-10 05:11","25.6","71","54","2022-07-10 12:19","1.3","350","8.0","340","2022-07-10 15:16","T","0.4","T","2022-07-10 16:51","T","2022-07-10 16:51","8.0","59.0","24.48","31.3","-6.3","13","2022-07-10 13:00","5.8"
"11","1003.9","1007.3","1005.6","2022-07-11 21:59","1002.6","2022-07-11 15:36","31.6","36.9","2022-07-11 13:18","28.1","2022-07-11 05:17","25.4","70","50","2022-07-11 11:32","1.4","330","8.2","330","2022-07-11 13:48","0.0","0.0","0.0","...","0.0","...","11.3","83.5","26.40","36.3","6.5","13","2022-07-11 12:00","4.8"
"12","1004.0","1007.4","1005.3","2022-07-12 07:07","1002.3","2022-07-12 16:42","31.3","34.9","2022-07-12 13:21","28.5","2022-07-12 05:34","24.6","68","59","2022-07-12 13:39","1.6","80","6.9","340","2022-07-12 13:16","0.0","0.0","0.0","...","0.0","...","5.1","37.7","21.21","28.5","2.9","10","2022-07-12 12:00","8.5"
"13","1002.7","1006.1","1004.7","2022-07-13 08:08","1001.2","2022-07-13 23:59","30.8","35.0","2022-07-13 14:35","28.4","2022-07-13 05:07","24.1","68","55","2022-07-13 14:19","1.7","80","8.5","70","2022-07-13 16:43","0.0","0.0","0.0","...","0.0","...","4.2","31.1","17.32","20.5","5.9","10","2022-07-13 13:00","7.5"
"14","1001.6","1005.0","1003.3","2022-07-14 21:32","1000.1","2022-07-14 16:19","31.2","35.4","2022-07-14 12:11","27.6","2022-07-14 04:59","23.3","63","45","2022-07-14 12:13","1.5","300","6.4","350","2022-07-14 12:57","0.0","0.0","0.0","...","0.0","...","6.9","51.1","21.39","48.0","4.7","10","2022-07-14 12:00","7.8"
"15","1001.2","1004.6","1002.6","2022-07-15 00:01","999.6","2022-07-15 16:35","31.7","36.0","2022-07-15 13:03","28.1","2022-07-15 03:45","22.2","58","44","2022-07-15 12:35","2.3","270","9.6","260","2022-07-15 13:39","0.0","0.0","0.0","...","0.0","...","7.4","54.8","21.94","33.8","6.1","11","2022-07-15 13:00","7.5"
"16","1000.4","1003.8","1001.8","2022-07-16 21:58","999.1","2022-07-16 15:04","32.6","37.8","2022-07-16 14:27","27.2","2022-07-16 05:15","22.4","56","41","2022-07-16 13:20","2.4","250","13.4","280","2022-07-16 11:11","0.0","0.0","0.0","...","0.0","...","11.5","85.3","25.80","43.8","6.5","12","2022-07-16 13:00","5.0"
"17","1000.7","1004.1","1002.3","2022-07-17 08:47","998.6","2022-07-17 16:24","32.4","36.8","2022-07-17 12:54","28.4","2022-07-17 05:05","24.0","62","46","2022-07-17 12:23","1.7","260","10.1","220","2022-07-17 12:33","0.0","0.0","0.0","...","0.0","...","9.7","72.0","25.03","40.0","6.2","12","2022-07-17 12:00","6.8"
"18","1001.6","1005.0","1004.0","2022-07-18 23:14","999.9","2022-07-18 15:30","31.1","36.1","2022-07-18 13:58","28.5","2022-07-18 04:42","24.1","67","44","2022-07-18 14:29","1.7","160","7.0","60","2022-07-18 16:13","7.0","1.0","6.5","2022-07-18 17:01","7.0","2022-07-18 16:36","5.5","40.9","17.78","27.5","-5.2","10","2022-07-18 13:00","8.0"
"19","1004.8","1008.3","1007.4","2022-07-19 21:23","1003.4","2022-07-19 02:33","29.7","34.9","2022-07-19 13:12","26.9","2022-07-19 16:20","25.2","78","54","2022-07-19 10:00","1.5","150","8.8","60","2022-07-19 14:49","3.0","2.6","1.5","2022-07-19 15:18","2.5","2022-07-19 14:38","4.2","31.3","13.41","18.8","-0.8","10","2022-07-19 12:00","8.5"
"20","1007.4","1010.9","1009.2","2022-07-20 21:49","1006.2","2022-07-20 12:55","29.4","35.1","2022-07-20 13:01","26.5","2022-07-20 22:55","25.6","81","58","2022-07-20 10:07","1.5","160","8.3","100","2022-07-20 15:46","27.5","2.9","10.5","2022-07-20 16:29","22.0","2022-07-20 15:43","5.9","43.9","17.20","24.5","-5.6","11","2022-07-20 13:00","6.0"
"21","1007.9","1011.4","1009.3","2022-07-21 08:16","1006.3","2022-07-21 15:19","31.7","37.5","2022-07-21 12:41","25.7","2022-07-21 05:20","24.2","66","42","2022-07-21 12:04","1.7","160","7.4","330","2022-07-21 13:27","0.0","0.0","0.0","...","0.0","...","11.0","82.0","26.29","54.3","5.8","14","2022-07-21 12:00","3.8"
"22","1006.3","1009.8","1008.3","2022-07-22 00:01","1004.3","2022-07-22 14:28","32.6","37.8","2022-07-22 13:10","28.2","2022-07-22 05:39","25.1","66","48","2022-07-22 11:16","1.3","160","7.6","350","2022-07-22 13:39","0.0","0.0","0.0","...","0.0","...","12.7","94.8","27.80","44.0","5.9","13","2022-07-22 12:00","2.0"
"23","1004.3","1007.7","1006.3","2022-07-23 00:01","1002.5","2022-07-23 15:51","33.1","38.3","2022-07-23 14:44","28.9","2022-07-23 06:19","24.3","62","39","2022-07-23 13:46","1.9","300","6.9","290","2022-07-23 10:10","0.0","0.0","0.0","...","0.0","...","11.6","86.7","27.47","30.0","7.6","13","2022-07-23 13:00","2.0"
"24","1003.3","1006.7","1004.8","2022-07-24 07:05","1001.4","2022-07-24 15:30","32.7","37.9","2022-07-24 12:50","28.8","2022-07-24 06:05","24.4","63","43","2022-07-24 12:12","1.6","280","7.7","340","2022-07-24 14:51","0.0","0.0","0.0","...","0.0","...","12.2","91.3","28.10","43.8","6.7","13","2022-07-24 12:00","1.8"
"25","1004.8","1008.2","1006.3","2022-07-25 08:19","1003.3","2022-07-25 16:14","32.0","37.2","2022-07-25 12:54","29.2","2022-07-25 05:46","24.9","67","48","2022-07-25 11:45","1.6","80","8.0","80","2022-07-25 17:47","0.0","0.0","0.0","...","0.0","...","7.2","53.9","23.47","19.5","6.6","11","2022-07-25 12:00","5.0"
"26","1004.6","1008.1","1005.7","2022-07-26 08:23","1002.9","2022-07-26 17:03","30.9","34.6","2022-07-26 11:58","28.1","2022-07-26 05:32","24.1","67","58","2022-07-26 09:38","1.9","160","8.4","340","2022-07-26 12:21","0.0","0.0","0.0","...","0.0","...","6.3","47.2","17.78","16.8","4.5","10","2022-07-26 12:00","6.3"
"27","1003.9","1007.3","1005.1","2022-07-27 09:20","1002.5","2022-07-27 15:27","31.3","35.9","2022-07-27 13:43","27.7","2022-07-27 05:42","24.3","67","50","2022-07-27 13:43","1.6","80","7.7","330","2022-07-27 12:43","0.0","0.0","0.0","...","0.0","...","10.1","75.8","24.79","24.5","5.7","11","2022-07-27 12:00","3.8"
"28","1003.1","1006.5","1004.4","2022-07-28 06:30","1001.5","2022-07-28 16:45","30.7","35.4","2022-07-28 14:08","27.6","2022-07-28 05:15","24.2","69","51","2022-07-28 12:45","2.0","160","9.5","350","2022-07-28 12:49","1.5","0.8","1.5","2022-07-28 15:51","1.5","2022-07-28 15:51","9.3","69.9","25.36","19.8","-6.4","12","2022-07-28 13:00","4.0"
"29","1001.5","1004.9","1002.7","2022-07-29 07:39","999.4","2022-07-29 16:24","30.5","35.2","2022-07-29 13:12","25.8","2022-07-29 23:47","24.0","69","47","2022-07-29 11:08","1.7","320","8.8","330","2022-07-29 14:32","13.5","1.6","4.0","2022-07-29 22:43","7.5","2022-07-29 22:43","10.4","78.3","25.43","37.0","-6.7","13","2022-07-29 13:00","4.3"
"30","999.5","1002.9","1001.8","2022-07-30 00:01","998.0","2022-07-30 13:36","29.7","34.0","2022-07-30 13:14","25.5","2022-07-30 01:19","24.7","76","51","2022-07-30 13:14","1.5","90","7.6","80","2022-07-30 13:20","0.5","0.1","0.5","2022-07-30 00:08","0.5","2022-07-30 00:08","4.9","36.9","18.59","37.5","4.4","11","2022-07-30 14:00","6.5"
"31","1000.1","1003.5","1001.8","2022-07-31 23:22","998.7","2022-07-31 15:16","31.3","35.0","2022-07-31 15:00","27.9","2022-07-31 04:57","24.3","67","51","2022-07-31 10:38","1.9","170","7.9","340","2022-07-31 14:04","0.0","0.0","0.0","...","0.0","...","10.7","80.8","24.74","32.5","6.0","13","2022-07-31 12:00","6.5"
