,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
0,1,1010.7,22.3,19.8,93
1,2,1010.4,24.2,20.2,90
2,3,1010.9,25.6,21.5,89
3,4,1015.3,23.5,19.4,86
4,5,1017.9,21.5,18.9,82
5,6,1016.1,23.5,19.0,84
6,7,1014.1,24.6,21.1,86
7,8,1014.5,23.6,21.7,90
8,9,1012.6,29.7,23.3,72
9,10,1012.4,30.0,22.6,77
10,11,1011.6,29.2,24.1,83
11,12,1010.8,29.9,22.8,81
12,13,1013.2,27.3,22.6,82
13,14,1013.6,26.4,22.9,73
14,15,1011.9,30.1,22.9,72
15,16,1012.0,24.2,22.4,89
16,17,1011.3,28.1,21.5,83
17,18,1012.7,28.2,23.1,81
18,19,1011.6,27.9,23.3,78
19,20,1011.2,26.4,23.7,79
20,21,1011.6,25.8,23.0,80
21,22,1010.2,29.9,23.5,79
22,23,1012.7,24.7,20.6,89
23,24,1013.3,21.2,20.4,94
24,25,1011.8,24.4,20.2,93
25,26,1012.0,23.6,20.2,86
26,27,1010.3,28.4,21.5,77
27,28,1010.1,31.3,21.5,77
28,29,1010.5,30.7,23.2,77
29,30,1018.4,24.1,17.2,82
30,1,1010.3,33.9,26.6,62
31,2,1010.1,34.8,26.3,62
32,3,1009.8,35.1,27.3,61
33,4,1010.4,34.9,26.1,64
34,5,1012.6,29.2,24.4,81
35,6,1012.7,27.1,24.2,86
36,7,1012.5,26.3,23.9,87
37,8,1013.5,24.7,22.9,88
38,9,1013.7,25.6,22.1,88
39,10,1016.7,22.2,20.3,74
40,11,1015.5,22.0,20.1,66
41,12,1013.6,24.1,20.9,82
42,13,1011.6,24.9,21.5,84
43,14,1009.0,25.2,22.1,88
44,15,1006.3,25.3,23.7,94
45,16,1005.0,26.4,24.6,97
46,17,1009.5,25.2,19.7,87
47,18,1015.3,20.2,18.6,87
48,19,1016.4,22.7,19.0,70
49,20,1015.9,24.2,21.3,70
50,21,1013.4,27.3,22.3,80
51,22,1011.0,29.3,24.1,91
52,23,1013.6,24.2,21.8,86
53,24,1016.2,24.8,21.2,62
54,25,1017.0,24.0,20.9,58
55,26,1014.0,27.4,21.1,63
56,27,1012.6,28.7,22.1,71
57,28,1012.9,27.2,22.2,84
58,29,1012.5,23.8,21.9,87
59,30,1009.2,23.7,22.4,92
60,31,1008.2,23.4,19.9,94
61,1,1003.5,30.5,25.5,79
62,2,998.2,29.2,25.1,92
63,3,993.1,29.1,26.1,93
64,4,993.0,30.0,25.5,84
65,5,999.1,33.9,26.5,74
66,6,1007.8,29.3,24.6,77
67,7,1011.5,29.5,25.9,73
68,8,1011.6,31.5,23.3,62
69,9,1010.2,31.0,23.8,65
70,10,1008.0,30.6,23.1,66
71,11,1004.4,26.8,24.6,90
72,12,1000.8,28.8,24.9,93
73,13,1000.8,28.2,24.1,88
74,14,1000.9,31.0,23.7,79
75,15,1001.6,33.1,24.7,77
76,16,1001.9,32.7,23.8,73
77,17,1002.5,32.2,24.0,67
78,18,1002.1,32.2,23.0,66
79,19,1003.9,32.8,24.3,66
80,20,1007.4,29.0,24.1,63
81,21,1008.7,30.4,22.5,64
82,22,1008.3,30.0,23.3,62
83,23,1009.0,30.2,21.9,63
