,氣溫(℃)
0,20.9
1,21.9
2,23.4
3,21.4
4,19.9
5,20.9
6,22.7
7,22.8
8,26.1
9,25.9
10,26.1
11,25.7
12,24.6
13,24.2
14,25.5
15,23.3
16,24.3
17,25.1
18,25.1
19,24.6
20,24.3
21,25.8
22,22.2
23,20.8
24,22.1
25,21.8
26,24.3
27,25.5
28,26.5
29,19.6
30,29.8
31,30.1
32,30.4
33,29.4
34,26.7
35,25.5
36,25.2
37,23.7
38,23.7
39,21.2
40,21.2
41,22.1
42,23.1
43,23.7
44,24.3
45,25.5
46,23.1
47,19.2
48,21.2
49,22.9
50,24.4
51,26.0
52,22.8
53,22.4
54,22.1
55,23.9
56,24.7
57,23.8
58,22.6
59,23.0
60,22.3
61,28.0
62,26.6
63,27.3
64,27.2
65,29.5
66,27.2
67,27.7
68,27.5
69,27.1
70,26.7
71,25.7
72,26.0
73,26.0
74,27.4
75,27.5
76,27.9
77,27.9
78,27.9
79,27.8
80,26.4
81,25.9
82,26.2
83,26.0
84,24.6
85,25.3
86,28.3
87,28.9
88,29.6
89,30.0
90,29.6
91,30.0
92,27.4
93,29.5
94,29.3
95,30.0
96,31.1
97,31.1
98,31.1
99,31.2
100,30.9
101,30.8
102,30.5
103,30.9
104,31.1
105,30.9
106,30.3
107,30.8
108,30.2
109,30.3
110,30.9
111,31.7
112,32.1
113,31.8
114,31.6
115,29.1
116,30.9
117,31.0
118,29.9
119,30.5
120,30.8
121,30.5
122,30.2
123,28.2
124,29.5
125,28.4
126,27.6
127,29.4
128,29.2
129,30.4
130,31.0
131,31.6
132,31.6
133,31.3
134,30.8
135,31.2
136,31.7
137,32.6
138,32.4
139,31.1
140,29.7
141,29.4
142,31.7
143,32.6
144,33.1
145,32.7
146,32.0
147,30.9
148,31.3
149,30.7
150,30.5
151,29.7
152,31.3
153,29.0
154,29.5
155,28.9
156,28.8
157,30.6
158,27.8
159,22.9
160,22.2
161,25.1
162,26.6
163,26.3
164,24.7
165,28.8
166,29.4
167,26.1
168,26.2
169,28.2
170,29.9
171,29.4
172,30.1
173,29.2
174,30.1
175,29.3
176,27.4
177,27.3
178,29.2
179,29.0
180,29.8
181,29.9
182,30.7
183,16.1
184,17.1
185,16.0
186,17.2
187,18.4
188,18.9
189,18.8
190,20.3
191,21.2
192,21.8
193,22.1
194,19.4
195,17.8
196,20.7
197,22.9
198,22.2
199,18.5
200,15.4
201,17.3
202,19.7
203,18.6
204,17.7
205,20.0
206,19.4
207,16.4
208,13.9
209,13.1
210,16.7
211,17.8
212,16.0
213,16.0
214,28.0
215,28.3
216,29.4
217,30.2
218,29.3
219,29.5
220,30.1
221,29.8
222,29.3
223,29.5
224,26.8
225,28.2
226,27.5
227,28.1
228,28.6
229,27.3
230,22.3
231,22.7
232,23.9
233,24.1
234,22.5
235,19.8
236,19.9
237,20.4
238,21.3
239,23.8
240,23.8
241,23.6
242,22.6
243,22.3
244,23.3
245,18.9
246,16.0
247,19.8
248,22.5
249,24.4
250,24.5
251,25.1
252,25.1
253,24.8
254,25.7
255,24.8
256,25.2
257,25.3
258,21.9
259,19.6
260,17.7
261,20.3
262,23.8
263,24.8
264,24.2
265,23.1
266,22.6
267,23.7
268,23.0
269,22.9
270,23.4
271,22.5
272,25.5
273,28.6
274,29.1
275,26.3
276,16.4
277,14.6
278,15.4
279,19.2
280,22.1
281,21.8
282,21.4
283,22.2
284,24.2
285,25.8
286,26.4
287,26.8
288,26.5
289,22.1
290,19.4
291,19.1
292,18.5
293,19.8
294,17.3
295,19.4
296,22.2
297,25.7
298,26.5
299,26.7
300,26.6
301,28.6
302,27.2
303,27.0
304,25.1
305,21.1
306,16.9
307,16.9
308,18.6
309,18.0
310,19.3
311,16.8
312,16.1
313,16.5
314,17.6
315,17.4
316,13.8
317,13.3
318,14.0
319,15.3
320,16.9
321,18.3
322,17.0
323,16.0
324,16.6
325,16.9
326,17.0
327,18.7
328,19.2
329,17.6
330,18.8
331,21.2
332,21.2
333,18.9
334,16.9
335,14.2
336,15.8
337,22.7
338,20.1
339,21.5
340,22.1
341,21.0
342,19.0
343,15.2
344,16.5
345,20.3
346,21.6
347,21.4
348,24.2
349,24.0
350,23.9
351,23.9
352,25.3
353,24.7
354,20.8
355,21.6
356,24.0
357,22.4
358,18.5
359,15.6
360,19.1
361,23.4
362,22.9
363,16.5
364,16.4
365,21.6
366,23.5
367,21.2
368,16.7
369,17.3
370,16.2
371,14.8
372,13.8
373,14.5
374,17.7
375,15.9
376,16.7
377,17.4
378,20.7
379,18.7
380,18.6
381,15.3
382,16.8
383,16.9
384,17.2
385,16.8
386,15.9
387,11.0
388,13.2
389,15.1
390,13.3
391,13.2
392,16.7
393,18.5
394,18.9
395,21.4
396,31.6
397,31.2
398,30.6
399,30.6
400,31.2
401,30.7
402,30.2
403,31.2
404,31.5
405,31.0
406,30.7
407,30.3
408,29.5
409,30.3
410,31.4
411,31.4
412,30.9
413,30.7
414,31.2
415,30.3
416,28.5
417,27.8
418,27.4
419,27.7
420,32.4
421,31.6
422,31.3
423,30.8
424,29.6
425,29.4
426,27.8
427,26.3
428,26.3
429,25.2
430,19.6
431,17.7
432,18.9
433,20.4
434,20.0
435,16.8
436,18.9
437,24.3
438,24.7
439,23.6
440,19.7
441,20.6
442,21.3
443,22.2
444,20.9
445,21.6
446,23.9
447,24.8
448,26.8
449,24.7
450,24.8
451,23.1
452,24.3
453,24.4
454,22.1
455,19.7
456,23.3
457,21.6
458,16.4
459,16.9
460,18.1
461,20.4
462,18.2
463,17.9
464,18.2
465,19.8
466,18.9
467,22.0
468,20.0
469,18.9
470,20.3
471,22.7
472,23.9
473,22.1
474,21.6
475,23.0
476,22.8
477,17.1
478,13.5
479,17.7
480,16.3
481,16.9
482,22.3
483,23.3
484,23.9
485,24.7
486,25.1
487,24.5
488,23.2
489,23.0
490,23.0
491,23.2
492,25.4
493,25.5
494,25.3
495,19.9
496,17.3
497,17.8
498,19.0
499,19.1
500,17.9
501,19.3
502,21.6
503,24.0
504,23.6
505,21.6
506,22.5
507,22.7
508,24.3
509,19.1
510,15.3
511,18.0
512,20.1
513,19.2
514,18.8
515,21.7
516,23.6
517,21.0
518,31.0
519,29.7
520,29.8
521,28.3
522,30.2
523,30.0
524,30.4
525,30.7
526,31.0
527,31.3
528,29.5
529,26.6
530,30.3
531,30.8
532,29.2
533,28.6
534,28.7
535,29.3
536,30.4
537,30.7
538,29.8
539,29.9
540,30.3
541,29.2
542,28.4
543,28.2
544,28.6
545,28.2
546,28.2
547,28.7
548,28.1
549,28.4
550,27.8
551,28.4
552,28.2
553,26.9
554,25.4
555,29.1
556,28.8
557,28.8
558,28.7
559,29.4
560,28.2
561,28.1
562,29.0
563,30.1
564,30.0
565,28.4
566,27.5
567,28.8
568,28.5
569,29.4
570,30.1
571,29.1
572,28.6
573,29.8
574,30.4
575,30.9
576,30.9
577,30.9
578,30.7
579,18.8
580,19.3
581,17.0
582,16.9
583,17.7
584,19.3
585,20.5
586,18.8
587,19.3
588,21.0
589,20.5
590,19.7
591,20.5
592,18.0
593,15.6
594,15.5
595,16.6
596,18.9
597,16.8
598,16.0
599,15.7
600,18.7
601,19.4
602,18.6
603,17.4
604,19.9
605,19.7
606,20.2
607,21.6
608,12.7
609,9.9
610,26.3
611,27.8
612,30.0
613,27.8
614,24.7
615,23.8
616,26.5
617,28.8
618,28.9
619,29.0
620,29.5
621,29.9
622,29.7
623,31.1
624,31.6
625,32.3
626,32.5
627,32.8
628,32.9
629,32.1
630,31.6
631,27.3
632,25.3
633,26.3
634,26.8
635,29.2
636,30.6
637,30.6
638,31.5
639,31.1
640,25.2
641,26.0
642,26.5
643,27.7
644,22.6
645,24.2
646,27.9
647,26.7
648,27.6
649,28.8
650,29.4
651,30.0
652,30.1
653,29.8
654,29.7
655,30.9
656,30.3
657,29.0
658,28.9
659,29.8
660,29.7
661,29.1
662,30.2
663,28.2
664,26.8
665,29.6
666,31.2
667,31.1
668,26.5
669,26.2
670,24.4
671,19.0
