"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","995.2","...","997.1","2022-06-01 00:29","992.6","2022-06-01 16:23","28.3","33.3","2022-06-01 12:20","24.1","2022-06-01 03:13","...","78","55","2022-06-01 12:22","0.6","273","5.8","262","2022-06-01 08:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","994.2","...","995.8","2022-06-02 23:02","992.8","2022-06-02 14:13","29.1","33.7","2022-06-02 14:58","25.7","2022-06-02 05:23","...","68","47","2022-06-02 15:02","0.5","258","9.4","277","2022-06-02 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","995.0","...","996.5","2022-06-03 22:40","993.8","2022-06-03 14:09","29.0","32.7","2022-06-03 12:15","25.7","2022-06-03 05:12","...","69","50","2022-06-03 10:47","0.5","268","5.7","300","2022-06-03 15:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","994.9","...","996.4","2022-06-04 08:46","993.2","2022-06-04 17:03","29.2","34.1","2022-06-04 13:17","25.4","2022-06-04 05:52","...","68","50","2022-06-04 13:18","0.6","272","6.5","294","2022-06-04 12:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","991.3","...","994.4","2022-06-05 00:01","988.8","2022-06-05 16:38","30.4","35.3","2022-06-05 14:43","26.0","2022-06-05 03:22","...","59","39","2022-06-05 11:52","0.9","270","10.6","280","2022-06-05 18:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","991.0","...","994.4","2022-06-06 23:15","988.3","2022-06-06 02:59","27.1","31.0","2022-06-06 07:54","18.7","2022-06-06 23:53","...","74","49","2022-06-06 03:12","0.8","264","9.9","280","2022-06-06 08:43","24.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","995.0","...","997.2","2022-06-07 22:23","992.7","2022-06-07 03:51","22.3","24.7","2022-06-07 11:25","18.1","2022-06-07 19:13","...","98","91","2022-06-07 21:42","0.3","125","4.2","117","2022-06-07 19:04","81.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","996.9","...","998.0","2022-06-08 22:39","996.1","2022-06-08 14:53","21.1","22.5","2022-06-08 12:42","19.0","2022-06-08 20:53","...","99","95","2022-06-08 00:13","1.2","125","5.7","138","2022-06-08 10:37","54.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","996.6","...","997.7","2022-06-09 21:24","995.0","2022-06-09 15:58","24.1","29.2","2022-06-09 15:26","19.1","2022-06-09 00:33","...","93","67","2022-06-09 15:27","0.2","122","3.4","135","2022-06-09 20:23","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
