芠代丁(day),代溃(hPa),キ溃(hPa),代程蔼溃(hPa),代程蔼溃丁(LST),代程溃(hPa),代程溃丁(LST),放(),程蔼放(),程蔼放丁(LST),程放(),程放丁(LST),臩翴放(),癸访(%),程癸访(%),程癸访丁(LST),硉(m/s),(360degree),程皚(m/s),程皚(360degree),程皚硉丁(LST),秖(mm),计(hour),程だ牧秖(mm),程だ牧秖癬﹍丁(LST),程せだ牧秖(mm),程せだ牧秖癬﹍丁(LST),ら酚计(hour),ら酚瞯(%),ぱら甮秖(MJ/),ǎ(km),A籡祇秖(mm),ら程蔼档絬计,ら程蔼档絬计丁(LST),羆冻秖(0~10)
ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,993.6,...,995.7,2022/7/1 22:37,992.4,2022/7/1 03:35,29.7,34.8,2022/7/1 13:03,23.1,2022/7/1 01:52,...,58,21,2022/7/1 17:52,1.2,119,9,137,2022/7/1 09:08,0,...,...,...,...,...,...,...,...,...,...,...,...,...
2,995.2,...,996.4,2022/7/2 10:25,993.8,2022/7/2 16:43,27.2,31.1,2022/7/2 16:00,21.9,2022/7/2 11:53,...,78,61,2022/7/2 16:02,0.2,114,2.6,275,2022/7/2 06:55,1.5,...,...,...,...,...,...,...,...,...,...,...,...,...
3,994,...,995.4,2022/7/3 00:01,992.6,2022/7/3 15:26,28.7,33.1,2022/7/3 13:50,23.3,2022/7/3 00:23,...,72,53,2022/7/3 12:52,0.4,268,5.5,283,2022/7/3 12:35,0,...,...,...,...,...,...,...,...,...,...,...,...,...
4,993.3,...,994.7,2022/7/4 20:44,991.9,2022/7/4 14:02,27.6,34.3,2022/7/4 14:10,20.5,2022/7/4 17:03,...,81,45,2022/7/4 11:43,0.4,116,6.5,140,2022/7/4 14:45,31,...,...,...,...,...,...,...,...,...,...,...,...,...
5,994.7,...,995.9,2022/7/5 22:35,993.7,2022/7/5 12:42,26.7,34.5,2022/7/5 11:31,20.9,2022/7/5 23:12,...,88,43,2022/7/5 12:33,0.3,125,4.9,110,2022/7/5 13:30,13.5,...,...,...,...,...,...,...,...,...,...,...,...,...
6,996.2,...,997.8,2022/7/6 21:13,995,2022/7/6 03:59,28.3,34.7,2022/7/6 13:59,21.2,2022/7/6 05:53,...,74,43,2022/7/6 16:42,0.4,268,5.2,272,2022/7/6 11:37,0,...,...,...,...,...,...,...,...,...,...,...,...,...
7,997.7,...,998.5,2022/7/7 08:00,996.6,2022/7/7 14:38,28.2,34,2022/7/7 11:58,23.7,2022/7/7 23:32,...,79,46,2022/7/7 11:52,0.1,130,4,251,2022/7/7 13:24,1,...,...,...,...,...,...,...,...,...,...,...,...,...
8,996.4,...,997.9,2022/7/8 07:39,994.7,2022/7/8 16:33,28.9,34.2,2022/7/8 11:48,22.6,2022/7/8 04:52,...,73,49,2022/7/8 11:52,0.2,273,3.8,283,2022/7/8 15:31,0,...,...,...,...,...,...,...,...,...,...,...,...,...
9,994.5,...,995.8,2022/7/9 22:31,993.1,2022/7/9 16:43,29.6,34.5,2022/7/9 14:17,24.1,2022/7/9 05:03,...,72,54,2022/7/9 12:28,0.3,274,4.9,266,2022/7/9 13:57,0,...,...,...,...,...,...,...,...,...,...,...,...,...
10,995,...,996,2022/7/10 06:57,993.6,2022/7/10 15:28,30.1,35.7,2022/7/10 13:27,24.9,2022/7/10 04:02,...,71,50,2022/7/10 12:52,0.4,269,5.1,278,2022/7/10 08:22,0,...,...,...,...,...,...,...,...,...,...,...,...,...
11,995.7,...,997.3,2022/7/11 21:56,994.3,2022/7/11 15:49,30.3,35.7,2022/7/11 13:28,22.8,2022/7/11 02:53,...,69,51,2022/7/11 10:32,0.4,258,4.6,277,2022/7/11 10:42,0,...,...,...,...,...,...,...,...,...,...,...,...,...
12,995.7,...,997,2022/7/12 08:17,993.9,2022/7/12 16:18,30.7,34.9,2022/7/12 14:57,5.5,2022/7/12 00:04,...,67,47,2022/7/12 15:53,0.3,268,4.1,273,2022/7/12 10:56,0,...,...,...,...,...,...,...,...,...,...,...,...,...
13,994.3,...,996.4,2022/7/13 08:40,992.7,2022/7/13 18:46,29.9,34.4,2022/7/13 14:10,24.9,2022/7/13 05:53,...,72,51,2022/7/13 13:53,0.4,120,4.8,115,2022/7/13 21:18,2.5,...,...,...,...,...,...,...,...,...,...,...,...,...
14,993.3,...,995.1,2022/7/14 21:41,991.7,2022/7/14 16:48,30.5,35.4,2022/7/14 15:13,25.1,2022/7/14 02:36,...,62,29,2022/7/14 13:03,0.3,271,4.2,270,2022/7/14 12:13,0,...,...,...,...,...,...,...,...,...,...,...,...,...
15,992.9,...,994.4,2022/7/15 08:32,991.4,2022/7/15 16:33,30.8,34.4,2022/7/15 12:48,24.7,2022/7/15 00:32,...,55,37,2022/7/15 16:03,0.9,274,8.1,279,2022/7/15 09:01,0,...,...,...,...,...,...,...,...,...,...,...,...,...
16,992.2,...,993.7,2022/7/16 22:29,990.9,2022/7/16 15:14,32.1,37.3,2022/7/16 13:51,27.4,2022/7/16 00:33,...,51,39,2022/7/16 16:13,0.7,267,8.1,268,2022/7/16 13:02,0,...,...,...,...,...,...,...,...,...,...,...,...,...
17,992.5,...,993.9,2022/7/17 08:42,990.2,2022/7/17 16:23,31.6,35.9,2022/7/17 16:08,25.7,2022/7/17 06:33,...,54,36,2022/7/17 09:13,0.8,275,7.2,287,2022/7/17 14:12,0,...,...,...,...,...,...,...,...,...,...,...,...,...
18,993.4,...,995.7,2022/7/18 23:16,991.9,2022/7/18 16:20,30.1,35.5,2022/7/18 16:28,-6.6,2022/7/18 01:43,...,60,19,2022/7/18 01:42,0.5,273,6.7,288,2022/7/18 09:20,0,...,...,...,...,...,...,...,...,...,...,...,...,...
19,996.4,...,998.9,2022/7/19 21:55,995,2022/7/19 02:44,29.1,34.4,2022/7/19 13:19,5.2,2022/7/19 01:54,...,68,39,2022/7/19 10:43,0.5,103,7.6,267,2022/7/19 12:43,0,...,...,...,...,...,...,...,...,...,...,...,...,...
20,999,...,1000.7,2022/7/20 23:04,997.8,2022/7/20 02:45,28.6,34.3,2022/7/20 14:49,21.6,2022/7/20 05:36,...,72,51,2022/7/20 12:53,0.3,269,5.7,303,2022/7/20 15:15,2,...,...,...,...,...,...,...,...,...,...,...,...,...
21,999.6,...,1000.8,2022/7/21 08:17,998.3,2022/7/21 15:36,30,36.2,2022/7/21 13:30,20.3,2022/7/21 04:12,...,62,40,2022/7/21 11:52,0.5,272,5.7,277,2022/7/21 14:56,0,...,...,...,...,...,...,...,...,...,...,...,...,...
22,998.1,...,1000,2022/7/22 00:04,996.3,2022/7/22 15:11,31,37.6,2022/7/22 14:27,7,2022/7/22 22:52,...,61,28,2022/7/22 12:23,0.6,272,4.6,229,2022/7/22 15:27,0,...,...,...,...,...,...,...,...,...,...,...,...,...
23,996.1,...,998.1,2022/7/23 00:03,994.5,2022/7/23 15:50,30.8,37,2022/7/23 15:03,21.1,2022/7/23 05:37,...,60,20,2022/7/23 17:13,0.7,274,5.5,268,2022/7/23 12:20,0,...,...,...,...,...,...,...,...,...,...,...,...,...
24,995,...,996.3,2022/7/24 07:21,993.1,2022/7/24 16:26,31.2,38.4,2022/7/24 14:22,20.9,2022/7/24 22:36,...,59,31,2022/7/24 14:02,0.4,263,4.5,292,2022/7/24 08:32,0,...,...,...,...,...,...,...,...,...,...,...,...,...
25,996.5,...,998,2022/7/25 08:36,995,2022/7/25 16:52,30.1,35.9,2022/7/25 11:58,21.3,2022/7/25 05:37,...,66,45,2022/7/25 15:02,0.2,266,3.8,254,2022/7/25 13:06,0,...,...,...,...,...,...,...,...,...,...,...,...,...
26,996.2,...,997.3,2022/7/26 08:44,994.5,2022/7/26 17:02,29.4,34.2,2022/7/26 12:55,23,2022/7/26 23:36,...,68,50,2022/7/26 11:53,0.4,111,4.3,268,2022/7/26 13:58,0,...,...,...,...,...,...,...,...,...,...,...,...,...
27,996,...,998.3,2022/7/27 08:44,995.5,2022/7/27 17:02,30.5,35.2,2022/7/27 12:55,24,2022/7/27 23:36,...,64,51,2022/7/27 11:53,0.2,276,4.3,268,2022/7/27 13:58,0,...,...,...,...,...,...,...,...,...,...,...,...,...
28,995.6,...,996.9,2022/7/28 06:45,993.9,2022/7/28 16:53,31,35.2,2022/7/28 14:28,25.2,2022/7/28 04:02,...,65,48,2022/7/28 14:28,0.5,115,4.4,131,2022/7/28 20:28,0,...,...,...,...,...,...,...,...,...,...,...,...,...
29,994.1,...,995.3,2022/7/29 22:40,992,2022/7/29 16:48,30.4,35.4,2022/7/29 14:47,24.8,2022/7/29 23:43,...,70,45,2022/7/29 11:09,0.3,67,5.6,129,2022/7/29 22:39,52.5,...,...,...,...,...,...,...,...,...,...,...,...,...
30,992,...,994.3,2022/7/30 00:01,990.8,2022/7/30 16:36,29.2,34.8,2022/7/30 11:53,25,2022/7/30 00:10,...,77,53,2022/7/30 11:53,0.3,118,4.5,133,2022/7/30 10:48,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
31,992.7,...,994.2,2022/7/31 21:44,991.3,2022/7/31 15:35,31.4,36.1,2022/7/31 14:51,27,2022/7/31 05:36,...,64,44,2022/7/31 15:35,0.4,263,3.8,204,2022/7/31 11:59,0,...,...,...,...,...,...,...,...,...,...,...,...,...
