,觀測時間(day),測站氣壓(hPa),最高氣溫(℃),最低氣溫(℃),相對溼度(%)
0,1,1013.0,20.0,13.5,84
1,2,1011.9,19.7,13.5,81
2,3,1010.2,21.9,15.2,75
3,4,1008.4,20.2,15.8,85
4,5,1006.5,20.5,16.7,92
5,6,1010.4,17.8,13.2,90
6,7,1011.7,18.2,12.9,82
7,8,1009.1,18.0,13.4,75
8,9,1006.4,20.1,14.8,79
9,10,1005.2,20.2,14.8,83
10,11,1010.1,15.9,11.2,76
11,12,1009.7,...,...,82
12,13,1011.6,14.1,11.2,67
13,14,1009.8,18.3,10.9,63
14,15,1009.6,21.0,13.1,81
15,16,1009.3,21.9,13.6,82
16,17,1010.0,18.2,14.0,94
17,18,1008.6,17.2,14.2,89
18,19,1007.4,19.2,14.7,84
19,20,1007.4,18.7,14.7,81
20,21,1006.7,17.8,14.0,96
21,22,1003.2,20.7,15.7,96
22,23,1000.6,22.1,16.0,97
23,24,1004.1,19.0,15.3,95
24,25,1005.2,...,...,83
25,26,1005.1,25.3,17.0,82
26,27,1006.0,25.2,17.2,86
27,28,1005.7,20.8,16.6,86
28,29,1003.0,17.1,14.2,93
29,30,1007.1,15.0,10.5,89
30,31,1008.8,17.9,11.4,67
31,1,1011.6,17.6,13.4,57
32,2,1009.7,19.3,12.2,73
33,3,1010.9,19.9,10.8,61
34,4,1011.3,20.2,11.3,59
35,5,1009.2,22.3,15.5,79
36,6,1008.2,22.2,16.4,89
37,7,1011.1,19.6,15.7,77
38,8,1011.2,23.1,15.4,63
39,9,1009.6,23.2,17.7,73
40,10,1008.7,24.0,19.1,72
41,11,1008.8,27.0,17.9,77
42,12,1010.5,21.5,16.1,91
43,13,1010.4,19.9,15.6,90
44,14,1006.4,24.3,16.2,77
45,15,1004.9,26.7,16.9,80
46,16,1005.1,26.1,17.6,85
47,17,1010.7,19.7,13.6,77
48,18,1013.6,16.5,13.1,64
49,19,1010.9,20.1,13.5,58
50,20,1007.6,22.2,15.5,72
51,21,1003.7,18.7,15.9,96
52,22,1005.5,17.5,15.4,97
53,23,1004.6,21.9,15.6,93
54,24,1005.6,19.4,16.8,94
55,25,1012.9,17.5,12.7,89
56,26,1016.9,15.8,11.7,87
57,27,1016.5,13.5,11.0,91
58,28,1012.3,20.2,12.8,84
59,29,1012.0,19.9,14.6,86
60,30,1014.6,17.0,13.8,68
61,31,1014.2,17.7,13.7,70
62,1,1008.7,25.4,20.0,73
63,2,1007.8,24.0,19.6,75
64,3,1005.5,22.8,18.6,77
65,4,1003.7,25.3,18.4,81
66,5,1000.9,29.1,17.9,82
67,6,999.5,29.2,21.1,81
68,7,1000.9,30.3,19.5,75
69,8,1006.1,24.0,3.0,88
70,9,1008.4,18.9,14.3,60
71,10,1007.4,22.1,13.5,63
72,11,1006.4,24.2,11.3,60
73,12,1007.8,20.7,15.7,71
74,13,1007.3,20.8,15.1,91
75,14,1007.4,20.9,15.4,79
76,15,1005.5,24.5,17.4,66
77,16,1005.1,27.7,20.1,66
78,17,1004.1,25.5,21.0,76
79,18,1002.5,21.9,18.1,97
80,19,1000.8,26.1,18.9,87
81,20,1001.8,24.3,20.3,84
82,21,1001.9,27.3,19.6,79
83,22,1006.6,22.3,13.1,92
84,23,1010.2,14.9,12.7,94
85,24,1008.4,18.6,14.2,74
86,25,1006.6,...,...,85
87,26,1009.7,19.8,15.7,91
88,27,1010.2,19.6,15.5,93
89,28,1006.9,23.3,18.3,79
90,29,1003.4,26.7,19.9,73
91,30,1006.0,23.1,15.8,76
92,1,1000.2,31.0,19.9,68
93,2,1002.7,30.3,20.8,74
94,3,1001.9,30.1,22.7,76
95,4,999.8,32.3,22.5,72
96,5,1003.1,26.6,17.5,81
97,6,1003.5,28.9,18.9,80
98,7,1000.7,31.9,22.3,72
99,8,998.6,28.8,23.2,86
