,氣溫(℃)
0,16.2
1,16.6
2,17.9
3,17.8
4,18.1
5,15.7
6,15.1
7,15.6
8,16.9
9,17.0
10,12.6
11,12.1
12,12.8
13,14.3
14,16.0
15,18.1
16,16.2
17,15.6
18,16.4
19,16.5
20,16.1
21,17.7
22,17.9
23,16.7
24,18.3
25,21.3
26,19.7
27,18.6
28,15.7
29,12.7
30,14.7
31,15.3
32,15.4
33,14.9
34,16.3
35,18.2
36,18.6
37,17.5
38,19.2
39,20.6
40,21.2
41,21.3
42,18.5
43,17.0
44,20.0
45,21.1
46,20.8
47,17.2
48,14.8
49,16.6
50,18.6
51,17.4
52,16.5
53,18.9
54,18.0
55,15.4
56,13.4
57,12.4
58,16.4
59,16.9
60,15.3
61,15.2
62,22.5
63,22.1
64,22.5
65,22.8
66,24.4
67,24.7
68,24.9
69,18.5
70,16.6
71,17.4
72,18.5
73,18.5
74,17.3
75,18.3
76,21.1
77,23.3
78,23.1
79,20.0
80,21.8
81,22.3
82,23.3
83,17.4
84,14.0
85,17.0
86,19.3
87,17.9
88,17.9
89,20.9
90,22.8
91,20.4
92,25.1
93,25.5
94,25.8
95,27.0
96,22.6
97,24.1
98,27.1
99,25.3
100,26.4
101,27.8
102,28.7
103,29.6
104,29.5
105,29.4
106,29.7
107,30.6
108,30.0
109,28.6
110,28.9
111,29.8
112,29.9
113,28.6
114,29.6
115,28.8
116,27.0
117,28.9
118,30.4
119,30.1
120,26.2
121,25.2
122,23.6
123,28.1
124,27.9
125,28.8
126,29.5
127,28.8
128,29.1
129,29.6
130,29.5
131,28.8
132,28.8
133,25.6
134,27.1
135,26.7
136,27.3
137,27.9
138,26.8
139,20.6
140,21.8
141,23.2
142,23.7
143,21.2
144,18.7
145,18.7
146,19.3
147,20.3
148,23.0
149,23.0
150,22.6
151,21.6
152,21.1
153,22.6
154,26.3
155,27.9
156,29.7
157,27.4
158,24.6
159,23.0
160,25.7
161,28.3
162,28.6
163,29.0
164,29.4
165,29.4
166,29.2
167,30.3
168,30.6
169,31.2
170,31.4
171,31.7
172,31.9
173,31.3
174,30.3
175,26.6
176,24.8
177,25.2
178,25.7
179,28.5
180,30.6
181,30.1
182,30.3
183,30.1
184,27.6
185,28.1
186,28.2
187,27.5
188,26.9
189,25.6
190,24.2
191,28.8
192,29.1
193,27.6
194,28.8
195,29.8
196,28.6
197,28.3
198,28.7
199,29.9
200,29.9
201,28.3
202,27.5
203,28.2
204,28.6
205,29.1
206,29.7
207,29.3
208,28.2
209,29.4
210,29.4
211,29.8
212,30.3
213,29.6
214,29.6
215,30.2
216,30.5
217,30.6
218,29.9
219,30.5
220,29.8
221,29.2
222,30.0
223,30.9
224,30.3
225,29.6
226,29.3
227,29.0
228,30.0
229,31.0
230,30.1
231,30.8
232,30.6
233,31.5
234,30.4
235,28.1
236,26.8
237,27.1
238,26.7
239,31.5
240,31.8
241,31.2
242,30.0
243,29.1
244,28.1
245,27.4
246,25.5
247,25.2
248,24.0
249,19.6
250,17.8
251,18.8
252,20.3
253,18.7
254,16.0
255,18.1
256,22.5
257,23.7
258,23.1
259,19.2
260,19.9
261,21.2
262,21.7
263,20.4
264,21.3
265,23.5
266,24.7
267,27.0
268,23.9
269,24.5
270,22.5
271,24.0
272,23.5
273,21.1
274,19.2
275,22.9
276,29.6
277,29.5
278,29.3
279,28.3
280,29.1
281,29.3
282,29.9
283,30.2
284,30.4
285,31.1
286,29.5
287,25.8
288,29.8
289,30.0
290,29.2
291,27.6
292,27.9
293,28.6
294,30.0
295,30.4
296,29.7
297,29.5
298,30.1
299,29.3
300,28.1
301,28.1
302,28.5
303,28.2
304,27.7
305,28.5
306,20.5
307,15.0
308,16.1
309,16.5
310,19.8
311,16.8
312,16.4
313,17.3
314,19.1
315,18.7
316,20.2
317,19.6
318,18.8
319,20.2
320,21.6
321,22.9
322,20.3
323,19.5
324,21.2
325,21.5
326,15.7
327,12.4
328,16.5
329,15.0
330,16.8
331,20.6
332,22.7
333,23.5
334,23.2
335,25.0
336,23.4
337,12.6
338,13.7
339,17.3
340,17.3
341,15.4
342,14.1
343,10.8
344,6.7
345,7.8
346,11.7
347,10.1
348,9.4
349,12.3
350,15.4
351,15.4
352,16.8
353,12.6
354,13.3
355,16.2
356,19.8
357,21.7
358,22.0
359,18.8
360,17.3
361,17.3
362,17.5
363,17.7
364,15.0
365,14.3
366,17.2
367,17.3
368,18.0
369,18.5
370,15.6
371,16.2
372,17.5
373,19.3
374,19.8
375,17.9
376,18.5
377,20.6
378,19.8
379,18.8
380,18.9
381,17.2
382,14.9
383,14.9
384,16.1
385,17.9
386,15.5
387,15.7
388,15.1
389,18.2
390,18.4
391,17.0
392,16.7
393,19.4
394,19.1
395,19.4
396,20.1
397,11.2
398,8.5
399,17.5
400,16.6
401,18.5
402,19.2
403,19.7
404,18.5
405,20.0
406,18.6
407,16.8
408,20.3
409,17.9
410,19.3
411,18.0
412,17.6
413,18.3
414,19.6
415,14.8
416,13.9
417,15.0
418,15.7
419,17.0
420,18.6
421,20.7
422,23.0
423,21.3
424,18.8
425,15.4
426,16.9
427,24.4
428,23.9
429,20.5
430,20.8
431,22.3
432,27.3
433,25.1
434,19.5
435,19.9
436,19.6
437,21.4
438,21.6
439,21.1
440,21.2
441,24.1
442,24.5
443,25.1
444,24.8
445,25.3
446,24.9
447,23.7
448,23.3
449,21.5
450,22.1
451,23.7
452,24.8
453,21.4
454,19.2
455,18.5
456,18.4
457,20.6
458,21.9
459,23.7
460,21.9
461,20.2
462,21.0
463,22.9
464,22.9
465,26.0
466,25.7
467,25.7
468,25.0
469,24.8
470,24.0
471,23.6
472,23.5
473,23.9
474,24.3
475,25.1
476,24.3
477,24.2
478,24.7
479,21.5
480,20.3
481,21.7
482,21.3
483,23.5
484,24.8
485,26.0
486,19.5
487,30.9
488,27.2
489,29.1
490,29.6
491,29.7
492,31.0
493,30.6
494,29.8
495,30.6
496,30.1
497,30.7
498,30.9
499,30.8
500,30.7
501,30.3
502,30.8
503,29.6
504,29.2
505,29.3
506,29.7
507,30.8
508,31.7
509,31.3
510,31.4
511,29.6
512,31.1
513,31.7
514,29.2
515,30.1
516,30.0
517,30.8
518,28.3
519,29.1
520,29.0
521,29.2
522,30.4
523,27.1
524,22.3
525,21.1
526,24.1
527,25.7
528,25.1
529,23.8
530,27.7
531,28.5
532,25.1
533,25.3
534,27.3
535,28.6
536,28.9
537,29.2
538,29.2
539,29.2
540,27.9
541,27.2
542,26.3
543,28.0
544,28.5
545,28.6
546,28.1
547,29.3
548,29.2
549,29.3
550,29.5
551,28.9
552,27.0
553,25.8
554,25.3
555,23.4
556,23.6
557,20.0
558,20.8
559,22.1
560,23.1
561,22.5
562,23.4
563,24.6
564,22.0
565,18.7
566,20.8
567,22.5
568,24.1
569,26.3
570,21.9
571,21.7
572,21.7
573,23.6
574,24.5
575,23.9
576,22.6
577,22.6
578,21.3
579,29.5
580,27.4
581,28.6
582,27.9
583,27.2
584,28.3
585,28.6
586,29.1
587,29.0
588,29.9
589,30.0
590,29.7
591,29.4
592,30.0
593,30.4
594,31.4
595,31.1
596,30.5
597,29.5
598,29.4
599,30.8
600,31.1
601,31.2
602,30.9
603,30.4
604,29.9
605,30.0
606,29.5
607,29.2
608,28.2
609,30.1
610,27.7
611,25.7
612,26.5
613,26.5
614,29.5
615,27.4
616,27.6
617,27.9
618,27.3
619,27.3
620,25.5
621,25.6
622,25.8
623,27.3
624,27.8
625,27.9
626,27.8
627,28.2
628,27.8
629,26.5
630,26.0
631,26.5
632,26.2
633,23.8
634,25.2
635,28.4
636,28.8
637,29.4
638,29.5
639,29.1
640,17.5
641,15.1
642,19.1
643,22.3
644,22.9
645,23.9
646,24.8
647,24.1
648,24.2
649,25.3
650,24.3
651,24.5
652,25.0
653,21.0
654,18.1
655,16.7
656,19.4
657,23.5
658,24.8
659,23.7
660,22.4
661,22.3
662,22.7
663,22.2
664,22.2
665,22.6
666,21.8
667,25.4
668,27.9
669,28.3
670,26.0
671,21.9
672,19.8
673,21.1
674,21.0
675,20.6
676,18.7
677,13.9
678,15.8
679,19.1
680,20.0
681,20.0
682,22.3
683,22.9
684,22.7
685,X
686,24.2
687,23.0
688,20.4
689,20.9
690,23.3
691,21.0
692,17.1
693,14.2
694,18.1
695,22.4
696,22.9
697,15.8
698,15.3
699,21.1
700,22.5
701,20.2
702,15.6
703,13.3
704,14.3
705,18.4
706,21.4
707,21.3
708,21.1
709,22.4
710,24.1
711,24.8
712,25.6
713,25.6
714,25.5
715,21.5
716,18.7
717,18.7
718,17.6
719,18.9
720,16.1
721,19.1
722,22.4
723,25.0
724,26.0
725,26.5
726,26.9
727,28.0
728,26.8
729,26.2
730,24.8
731,20.7
732,15.2
733,14.8
734,14.1
735,12.8
736,12.5
737,13.7
738,15.6
739,14.2
740,15.3
741,15.4
742,17.6
743,16.6
744,16.6
745,13.4
746,15.3
747,15.9
748,15.6
749,15.1
750,13.9
751,9.3
752,12.1
753,13.9
754,11.7
755,12.1
756,16.1
757,17.1
758,17.8
759,20.2
